datetime,US_ISM_Inventory_Index_Actual,US_ISM_Inventory_Index_Srv_Med,US_ISM_Inventory_Index_Revised,US_ISM_Inventory_Index_Prior,unit
2023-08-01 22:00:00,46.1,,,44,
2023-07-03 22:00:00,44.0,,,45.8,
2023-06-01 22:00:00,45.8,,,46.3,
2023-05-01 22:00:00,46.3,,,47.5,
2023-04-03 22:00:00,47.5,,,50.1,
2023-03-01 23:00:00,50.1,,,50.2,
2023-02-01 23:00:00,50.2,,,51.8,
2023-01-04 23:00:00,51.8,,,50.9,
2022-11-01 22:00:00,52.5,,,55.5,
2022-10-03 22:00:00,55.5,,,53.1,
2022-09-01 22:00:00,53.1,,,57.3,
2022-08-01 22:00:00,57.3,,,56,
2022-07-01 22:00:00,56.0,,,55.9,
2022-06-01 22:00:00,55.9,,,51.6,
2022-05-02 22:00:00,51.6,,,55.5,
2022-04-01 22:00:00,55.5,,,53.6,
2022-03-01 23:00:00,53.6,,,53.2,
2022-02-01 23:00:00,53.2,,,54.7,
2022-01-04 23:00:00,54.7,,,56.8,
