datetime,US_ISM_Manufacturing_PMI_Actual,US_ISM_Manufacturing_PMI_Srv_Med,US_ISM_Manufacturing_PMI_Revised,US_ISM_Manufacturing_PMI_Prior,unit
2023-08-01 22:00:00,46.4,46.8,,46,
2023-07-03 22:00:00,46.0,47.0,,46.9,
2023-06-01 22:00:00,46.9,47.0,,47.1,
2023-05-01 22:00:00,47.1,46.7,,46.3,
2023-04-03 22:00:00,46.3,47.5,,47.7,
2023-03-01 23:00:00,47.7,48.0,,47.4,
2023-02-01 23:00:00,47.4,48.0,,48.4,
2023-01-04 23:00:00,48.4,48.5,,49,
2022-11-01 22:00:00,50.2,50.0,,50.9,
2022-10-03 22:00:00,50.9,52.2,,52.8,
2022-09-01 22:00:00,52.8,52.0,,52.8,
2022-08-01 22:00:00,52.8,52.0,,53,
2022-07-01 22:00:00,53.0,54.9,,56.1,
2022-06-01 22:00:00,56.1,54.5,,55.4,
2022-05-02 22:00:00,55.4,57.6,,57.1,
2022-04-01 22:00:00,57.1,59.0,,58.6,
2022-03-01 23:00:00,58.6,58.0,,57.6,
2022-02-01 23:00:00,57.6,57.5,58.8,58.7,
2022-01-04 23:00:00,58.7,60.1,,61.1,
