datetime,US_ISM_New_Orders_Index_Actual,US_ISM_New_Orders_Index_Srv_Med,US_ISM_New_Orders_Index_Revised,US_ISM_New_Orders_Index_Prior,unit
2023-08-01 22:00:00,47.3,,,45.6,
2023-07-03 22:00:00,45.6,,,42.6,
2023-06-01 22:00:00,42.6,,,45.7,
2023-05-01 22:00:00,45.7,,,44.3,
2023-04-03 22:00:00,44.3,47.5,,47,
2023-03-01 23:00:00,47.0,,,42.5,
2023-02-01 23:00:00,42.5,,45.1,45.2,
2023-01-04 23:00:00,45.2,,,47.2,
2022-11-01 22:00:00,49.2,,,47.1,
2022-10-03 22:00:00,47.1,50.5,,51.3,
2022-09-01 22:00:00,51.3,48.0,,48,
2022-08-01 22:00:00,48.0,49.0,,49.2,
2022-07-01 22:00:00,49.2,52.0,,55.1,
2022-06-01 22:00:00,55.1,,,53.5,
2022-05-02 22:00:00,53.5,54.1,,53.8,
2022-04-01 22:00:00,53.8,58.5,,61.7,
2022-03-01 23:00:00,61.7,56.3,,57.9,
2022-02-01 23:00:00,57.9,,61.0,60.4,
2022-01-04 23:00:00,60.4,60.4,,61.5,
