datetime,US_ISM_Prices_Paid_Index_Actual,US_ISM_Prices_Paid_Index_Srv_Med,US_ISM_Prices_Paid_Index_Revised,US_ISM_Prices_Paid_Index_Prior,unit
2023-08-01 22:00:00,42.6,42.8,,41.8,
2023-07-03 22:00:00,41.8,44.0,,44.2,
2023-06-01 22:00:00,44.2,52.0,,53.2,
2023-05-01 22:00:00,53.2,49.0,,49.2,
2023-04-03 22:00:00,49.2,51.1,,51.3,
2023-03-01 23:00:00,51.3,45.1,,44.5,
2023-02-01 23:00:00,44.5,39.5,,39.4,
2023-01-04 23:00:00,39.4,42.6,,43,
2022-11-01 22:00:00,46.6,52.5,,51.7,
2022-10-03 22:00:00,51.7,51.9,,52.5,
2022-09-01 22:00:00,52.5,55.5,,60,
2022-08-01 22:00:00,60.0,74.3,,78.5,
2022-07-01 22:00:00,78.5,81.0,,82.2,
2022-06-01 22:00:00,82.2,83.0,,84.6,
2022-05-02 22:00:00,84.6,87.5,,87.1,
2022-04-01 22:00:00,87.1,80.0,,75.6,
2022-03-01 23:00:00,75.6,74.6,,76.1,
2022-02-01 23:00:00,76.1,68.1,,68.2,
2022-01-04 23:00:00,68.2,79.5,,82.4,
