datetime,US_JOLTs_Job_Openings_Actual,US_JOLTs_Job_Openings_Srv_Med,US_JOLTs_Job_Openings_Revised,US_JOLTs_Job_Openings_Prior,unit
2023-08-01 22:00:00,958.2,961.0,961.6,982.4,万人
2023-07-06 22:00:00,982.4,993.5,1032.0,1010.3,万人
2023-05-31 22:00:00,1010.3,937.5,974.5,959,万人
2023-05-02 22:00:00,959.0,977.5,997.4,993.1,万人
2023-04-04 22:00:00,993.1,1040.0,1056.3,1082.4,万人
2023-03-08 23:00:00,1082.4,1050.0,1123.4,1101.2,万人
2023-02-01 23:00:00,1101.2,1023.0,1044.0,1045.8,万人
2023-01-04 23:00:00,1045.8,1000.0,1051.2,1033.4,万人
2022-11-30 23:00:00,1033.4,1030.0,1068.7,1071.7,万人
2022-11-01 22:00:00,1071.7,1000.0,1028.0,1005.3,万人
2022-10-04 22:00:00,1005.3,1077.5,1117.0,1123.9,万人
2022-08-30 22:00:00,1123.9,1047.5,1104.0,1069.8,万人
2022-08-02 22:00:00,1069.8,1100.0,1130.3,1125.4,万人
2022-07-06 22:00:00,1125.4,1100.0,1168.1,1140,万人
2022-06-01 22:00:00,1140.0,1140.0,1185.5,1154.9,万人
2022-05-03 22:00:00,1154.9,1100.0,1134.4,1126.6,万人
2022-03-29 22:00:00,1126.6,1100.0,1128.3,1126.3,万人
2022-03-09 23:00:00,1126.3,1092.5,1144.8,1092.5,万人
2022-02-01 23:00:00,1092.5,1030.0,1077.5,1056.2,万人
2022-01-04 23:00:00,1056.2,1110.0,1109.1,1103.3,万人
