datetime,US_Average_Hourly_Earnings_Annual_Rate_Actual,US_Average_Hourly_Earnings_Annual_Rate_Srv_Med,US_Average_Hourly_Earnings_Annual_Rate_Revised,US_Average_Hourly_Earnings_Annual_Rate_Prior,unit
2023-08-04 20:30:00,4.4,4.2,,4.4,%
2023-07-07 20:30:00,4.4,4.2,,4.3,%
2023-06-02 20:30:00,4.3,4.4,,4.4,%
2023-05-05 20:30:00,4.4,4.2,,4.2,%
2023-04-07 20:30:00,4.2,4.3,,4.6,%
2023-03-10 21:30:00,4.62,4.7,,4.4,%
2023-02-03 21:30:00,4.4,4.3,,4.6,%
2023-01-06 21:30:00,4.6,5.0,,5.1,%
2022-12-02 21:30:00,5.1,4.6,,4.7,%
2022-11-04 20:30:00,4.7,4.7,,5,%
2022-10-07 20:30:00,5.0,5.1,,5.2,%
2022-09-02 20:30:00,5.2,5.3,,5.2,%
2022-08-05 20:30:00,5.2,4.9,,5.1,%
2022-07-08 20:30:00,5.11,5.0,,5.2,%
2022-06-03 20:30:00,5.24,5.2,,5.5,%
2022-05-06 20:30:00,5.5,5.5,,5.6,%
2022-04-01 20:30:00,5.56,5.5,,5.1,%
2022-03-04 21:30:00,5.1,5.8,,5.7,%
2022-02-04 21:30:00,5.7,5.2,,4.7,%
2022-01-07 21:30:00,4.7,4.2,,4.8,%
