datetime,US_Labor_Participation_Rate_Actual,US_Labor_Participation_Rate_Srv_Med,US_Labor_Participation_Rate_Revised,US_Labor_Participation_Rate_Prior,unit
2023-08-04 20:30:00,62.6,62.6,,62.6,%
2023-07-07 20:30:00,62.6,62.6,,62.6,%
2023-06-02 20:30:00,62.6,62.6,,62.6,%
2023-05-05 20:30:00,62.6,62.6,,62.6,%
2023-04-07 20:30:00,62.6,62.5,,62.5,%
2023-03-10 21:30:00,62.5,62.4,,62.4,%
2023-02-03 21:30:00,62.4,62.3,,62.3,%
2023-01-06 21:30:00,62.3,62.2,62.2,62.1,%
2022-12-02 21:30:00,62.1,62.3,,62.2,%
2022-11-04 20:30:00,62.2,62.3,,62.3,%
2022-10-07 20:30:00,62.3,62.4,,62.4,%
2022-09-02 20:30:00,62.4,62.2,,62.1,%
2022-08-05 20:30:00,62.1,62.2,,62.2,%
2022-07-08 20:30:00,62.2,62.4,,62.3,%
2022-06-03 20:30:00,62.3,62.3,,62.2,%
2022-05-06 20:30:00,62.2,62.5,,62.4,%
2022-04-01 20:30:00,62.4,62.4,,62.3,%
2022-03-04 21:30:00,62.3,62.2,,62.2,%
2022-02-04 21:30:00,62.2,61.9,,61.9,%
2022-01-07 21:30:00,61.9,61.9,61.9,61.8,%
