datetime,US_Private_Nonfarm_Payrolls_Actual,US_Private_Nonfarm_Payrolls_Srv_Med,US_Private_Nonfarm_Payrolls_Revised,US_Private_Nonfarm_Payrolls_Prior,unit
2023-08-04 20:30:00,17.2,17.9,12.8,14.9,万人
2023-07-07 20:30:00,14.9,20.0,25.9,28.3,万人
2023-06-02 20:30:00,28.3,16.5,25.3,23,万人
2023-05-05 20:30:00,23.0,16.0,12.3,18.9,万人
2023-04-07 20:30:00,18.9,21.5,,26.5,万人
2023-03-10 21:30:00,26.5,21.0,38.6,44.3,万人
2023-02-03 21:30:00,44.3,19.0,26.9,22,万人
2023-01-06 21:30:00,22.0,18.0,20.2,22.1,万人
2022-12-02 21:30:00,22.1,19.0,24.8,23.3,万人
2022-11-04 20:30:00,23.3,20.0,31.9,28.8,万人
2022-10-07 20:30:00,28.8,26.5,27.5,30.8,万人
2022-09-02 20:30:00,30.8,30.0,47.7,47.1,万人
2022-08-05 20:30:00,47.1,23.0,40.4,38.1,万人
2022-07-08 20:30:00,38.1,24.0,33.6,33.3,万人
2022-06-03 20:30:00,33.3,32.5,40.5,40.6,万人
2022-05-06 20:30:00,40.6,38.5,42.4,42.6,万人
2022-04-01 20:30:00,42.6,48.0,73.9,65.4,万人
2022-03-04 21:30:00,65.4,37.8,44.8,44.4,万人
2022-02-04 21:30:00,44.4,15.0,50.3,21.1,万人
2022-01-07 21:30:00,21.1,36.5,27.0,23.5,万人
