datetime,US_Seasonally_Adjusted_Government_Employment_Actual,US_Seasonally_Adjusted_Government_Employment_Srv_Med,US_Seasonally_Adjusted_Government_Employment_Revised,US_Seasonally_Adjusted_Government_Employment_Prior,unit
2023-08-04 20:30:00,1.5,,5.7,6,万人
2023-07-07 20:30:00,6.0,,4.7,5.6,万人
2023-06-02 20:30:00,5.6,,4.1,2.3,万人
2023-05-05 20:30:00,2.3,,4.2,4.7,万人
2023-04-07 20:30:00,4.7,,6.0,4.6,万人
2023-03-10 21:30:00,4.6,,11.8,7.4,万人
2023-02-03 21:30:00,7.4,,-0.9,0.3,万人
2023-01-06 21:30:00,0.3,,5.4,4.2,万人
2022-12-02 21:30:00,4.2,,3.6,2.8,万人
2022-11-04 20:30:00,2.8,,-0.4,-2.5,万人
2022-10-07 20:30:00,-2.5,,4.0,0.7,万人
2022-09-02 20:30:00,0.7,,4.9,5.7,万人
2022-08-05 20:30:00,5.7,,-0.6,-0.9,万人
2022-07-08 20:30:00,-0.9,,4.8,5.7,万人
2022-06-03 20:30:00,5.7,,3.1,2.2,万人
2022-05-06 20:30:00,2.2,,0.4,0.5,万人
2022-04-01 20:30:00,0.5,,1.1,2.4,万人
2022-03-04 21:30:00,2.4,,3.3,2.3,万人
2022-02-04 21:30:00,2.3,,0.7,-1.2,万人
2022-01-07 21:30:00,-1.2,,-2.1,-2.5,万人
