datetime,US_Seasonally_Adjusted_Manufacturing_Employment_Actual,US_Seasonally_Adjusted_Manufacturing_Employment_Srv_Med,US_Seasonally_Adjusted_Manufacturing_Employment_Revised,US_Seasonally_Adjusted_Manufacturing_Employment_Prior,unit
2023-08-04 20:30:00,-0.2,0.5,0.6,0.7,万人
2023-07-07 20:30:00,0.7,0.0,-0.3,-0.2,万人
2023-06-02 20:30:00,-0.2,0.6,1.0,1.1,万人
2023-05-05 20:30:00,1.1,-0.5,-0.8,-0.1,万人
2023-04-07 20:30:00,-0.1,0.5,-0.1,-0.4,万人
2023-03-10 21:30:00,-0.4,1.2,1.3,1.9,万人
2023-02-03 21:30:00,1.9,0.6,1.2,0.8,万人
2023-01-06 21:30:00,0.8,1.0,0.8,1.4,万人
2022-12-02 21:30:00,1.4,2.0,3.6,3.2,万人
2022-11-04 20:30:00,3.2,1.5,2.3,2.2,万人
2022-10-07 20:30:00,2.2,1.9,2.7,2.2,万人
2022-09-02 20:30:00,2.2,2.0,3.6,3,万人
2022-08-05 20:30:00,3.0,1.7,2.7,2.9,万人
2022-07-08 20:30:00,2.9,1.5,,1.8,万人
2022-06-03 20:30:00,1.8,4.0,6.1,5.5,万人
2022-05-06 20:30:00,5.5,3.5,4.3,3.8,万人
2022-04-01 20:30:00,3.8,3.0,3.8,3.6,万人
2022-03-04 21:30:00,3.6,2.3,1.6,1.3,万人
2022-02-04 21:30:00,1.3,2.5,3.2,2.6,万人
2022-01-07 21:30:00,2.6,3.5,3.5,3.1,万人
