datetime,US_Seasonally_Adjusted_Nonfarm_Payrolls_Actual,US_Seasonally_Adjusted_Nonfarm_Payrolls_Srv_Med,US_Seasonally_Adjusted_Nonfarm_Payrolls_Revised,US_Seasonally_Adjusted_Nonfarm_Payrolls_Prior,unit
2023-08-04 20:30:00,18.7,20.0,18.5,20.9,万人
2023-07-07 20:30:00,20.9,22.5,30.6,33.9,万人
2023-06-02 20:30:00,33.9,19.0,29.4,25.3,万人
2023-05-05 20:30:00,25.3,18.0,16.5,23.6,万人
2023-04-07 20:30:00,23.6,23.9,32.6,31.1,万人
2023-03-10 21:30:00,31.1,20.5,50.4,51.7,万人
2023-02-03 21:30:00,51.7,18.5,26.0,22.3,万人
2023-01-06 21:30:00,22.3,20.0,25.6,26.3,万人
2022-12-02 21:30:00,26.3,20.0,28.4,26.1,万人
2022-11-04 20:30:00,26.1,20.0,31.5,26.3,万人
2022-10-07 20:30:00,26.3,25.0,,31.5,万人
2022-09-02 20:30:00,31.5,30.0,52.6,52.8,万人
2022-08-05 20:30:00,52.8,25.0,39.8,37.2,万人
2022-07-08 20:30:00,37.2,26.8,38.4,39,万人
2022-06-03 20:30:00,39.0,32.5,43.6,42.8,万人
2022-05-06 20:30:00,42.8,39.1,42.8,43.1,万人
2022-04-01 20:30:00,43.1,49.0,75.0,67.8,万人
2022-03-04 21:30:00,67.8,40.0,48.1,46.7,万人
2022-02-04 21:30:00,46.7,15.0,51.0,19.9,万人
2022-01-07 21:30:00,19.9,40.0,24.9,21,万人
