datetime,US_U6_Unemployment_Rate_Actual,US_U6_Unemployment_Rate_Srv_Med,US_U6_Unemployment_Rate_Revised,US_U6_Unemployment_Rate_Prior,unit
2023-08-04 20:30:00,6.7,,,6.9,%
2023-07-07 20:30:00,6.9,,,6.7,%
2023-06-02 20:30:00,6.7,,,6.6,%
2023-05-05 20:30:00,6.6,,,6.7,%
2023-04-07 20:30:00,6.7,,,6.8,%
2023-03-10 21:30:00,6.8,,,6.6,%
2023-02-03 21:30:00,6.6,,,6.5,%
2023-01-06 21:30:00,6.5,,,6.7,%
2022-12-02 21:30:00,6.7,,,6.8,%
2022-11-04 20:30:00,6.8,,,6.7,%
2022-10-07 20:30:00,6.7,,,7,%
2022-09-02 20:30:00,7.0,,,6.7,%
2022-08-05 20:30:00,6.7,,,6.7,%
2022-07-08 20:30:00,6.7,,,7.1,%
2022-06-03 20:30:00,7.1,,,7,%
2022-05-06 20:30:00,7.0,,,6.9,%
2022-04-01 20:30:00,6.9,,,7.2,%
2022-03-04 21:30:00,7.2,,,7.1,%
2022-02-04 21:30:00,7.1,,,7.3,%
2022-01-07 21:30:00,7.3,,7.7,7.8,%
