datetime,Australia_RBA_Cash_Rate_Decision_Actual,Australia_RBA_Cash_Rate_Decision_Srv_Med,Australia_RBA_Cash_Rate_Decision_Revised,Australia_RBA_Cash_Rate_Decision_Prior,unit
2023-08-01 12:30:00,4.1,4.35,,4.1,%
2023-07-04 12:30:00,4.1,4.35,,4.1,%
2023-06-06 12:30:00,4.1,3.85,,3.85,%
2023-05-02 12:30:00,3.85,3.6,,3.6,%
2023-04-04 12:30:00,3.6,3.6,,3.6,%
2023-03-07 11:30:00,3.6,3.6,,3.35,%
2023-02-07 11:30:00,3.35,3.35,,3.1,%
2022-11-01 11:30:00,2.85,2.85,,2.6,%
2022-10-04 11:30:00,2.6,2.85,,2.35,%
2022-09-06 12:30:00,2.35,2.35,,1.85,%
2022-08-02 12:30:00,1.85,1.85,,1.35,%
2022-07-05 12:30:00,1.35,1.35,,0.85,%
2022-06-07 12:30:00,0.85,0.6,,0.35,%
2022-05-03 12:30:00,0.35,0.25,,0.1,%
2022-04-05 12:30:00,0.1,0.1,,0.1,%
2022-03-01 11:30:00,0.1,0.1,,0.1,%
2022-02-01 11:30:00,0.1,0.1,,0.1,%
