datetime,UK_CPI_YoY_Actual,UK_CPI_YoY_Srv_Med,UK_CPI_YoY_Revised,UK_CPI_YoY_Prior,unit
2023-08-16 14:00:00,6.8,6.8,,7.9,%
2023-07-19 14:00:00,7.9,8.2,,8.7,%
2023-06-21 14:00:00,8.7,8.4,,8.7,%
2023-05-24 14:00:00,8.7,8.2,,10.1,%
2023-04-19 14:00:00,10.1,9.8,,10.4,%
2023-03-22 15:00:00,10.4,9.9,,10.1,%
2023-02-15 15:00:00,10.1,10.3,,10.5,%
2023-01-18 15:00:00,10.5,10.5,,10.7,%
2022-12-14 15:00:00,10.7,10.9,,11.1,%
2022-11-16 15:00:00,11.1,10.7,,10.1,%
2022-10-19 14:00:00,10.1,10.0,,9.9,%
2022-09-14 14:00:00,9.9,10.2,,10.1,%
2022-08-17 14:00:00,10.1,9.8,,9.4,%
2022-06-22 14:00:00,9.1,9.1,,9,%
2022-05-18 14:00:00,9.0,9.1,,7,%
2022-04-13 14:00:00,7.0,6.7,,6.2,%
2022-03-23 15:00:00,6.2,5.9,,5.5,%
2022-02-16 15:00:00,5.5,5.4,,5.4,%
2022-01-19 15:00:00,5.4,5.2,,5.1,%
