datetime,UK_Core_CPI_YoY_Actual,UK_Core_CPI_YoY_Srv_Med,UK_Core_CPI_YoY_Revised,UK_Core_CPI_YoY_Prior,unit
2023-08-16 14:00:00,6.9,6.8,,6.9,%
2023-07-19 14:00:00,6.9,7.1,,7.1,%
2023-06-21 14:00:00,7.1,6.8,,6.8,%
2023-05-24 14:00:00,6.8,6.2,,6.2,%
2023-04-19 14:00:00,6.2,6.0,,6.2,%
2023-03-22 15:00:00,6.2,5.7,,5.8,%
2023-02-15 15:00:00,5.8,6.2,,6.3,%
2023-01-18 15:00:00,6.3,6.2,,6.3,%
2022-12-14 15:00:00,6.3,6.5,,6.5,%
2022-11-16 15:00:00,6.5,6.4,,6.5,%
2022-10-19 14:00:00,6.5,6.4,,6.3,%
2022-09-14 14:00:00,6.3,6.3,,6.2,%
2022-08-17 14:00:00,6.2,5.9,,5.8,%
2022-06-22 14:00:00,5.9,6.0,,6.2,%
2022-05-18 14:00:00,6.2,6.2,,5.7,%
2022-04-13 14:00:00,5.7,5.4,,5.2,%
2022-03-23 15:00:00,5.2,5.0,,4.4,%
2022-02-16 15:00:00,4.4,4.3,,4.2,%
2022-01-19 15:00:00,4.2,3.9,,4,%
