datetime,UK_Core_Retail_Price_Index_YoY_Actual,UK_Core_Retail_Price_Index_YoY_Srv_Med,UK_Core_Retail_Price_Index_YoY_Revised,UK_Core_Retail_Price_Index_YoY_Prior,unit
2023-08-16 14:00:00,7.9,,,9.6,%
2023-07-19 14:00:00,9.6,9.8,,10.3,%
2023-06-21 14:00:00,10.3,10.2,,10.4,%
2023-05-24 14:00:00,10.4,10.2,,12.6,%
2023-04-19 14:00:00,12.6,12.5,,12.9,%
2023-03-22 15:00:00,12.9,12.5,,12.6,%
2023-02-15 15:00:00,12.6,12.6,,12.9,%
2023-01-18 15:00:00,12.9,13.0,,13.5,%
2022-12-14 15:00:00,13.5,13.6,,13.9,%
2022-11-16 15:00:00,13.9,13.2,,12.4,%
2022-10-19 14:00:00,12.4,12.2,,12.2,%
2022-09-14 14:00:00,12.2,12.3,,12.3,%
2022-08-17 14:00:00,12.3,12.1,,11.9,%
2022-06-22 14:00:00,11.8,11.5,,11.2,%
2022-05-18 14:00:00,11.2,11.3,,9.1,%
2022-04-13 14:00:00,9.1,9.0,,8.3,%
2022-03-23 15:00:00,8.3,8.3,,8,%
2022-02-16 15:00:00,8.0,7.7,,7.7,%
2022-01-19 15:00:00,7.7,7.4,,7.2,%
