datetime,UK_Retail_Price_Index_YoY_Actual,UK_Retail_Price_Index_YoY_Srv_Med,UK_Retail_Price_Index_YoY_Revised,UK_Retail_Price_Index_YoY_Prior,unit
2023-08-16 14:00:00,9.0,9.0,,10.7,%
2023-07-19 14:00:00,10.7,10.9,,11.3,%
2023-06-21 14:00:00,11.3,11.2,,11.4,%
2023-05-24 14:00:00,11.4,11.1,,13.5,%
2023-04-19 14:00:00,13.5,13.3,,13.8,%
2023-03-22 15:00:00,13.8,13.3,,13.4,%
2023-02-15 15:00:00,13.4,13.2,,13.4,%
2023-01-18 15:00:00,13.4,13.6,,14,%
2022-12-14 15:00:00,14.0,13.9,,14.2,%
2022-11-16 15:00:00,14.2,13.5,,12.6,%
2022-10-19 14:00:00,12.6,12.3,,12.3,%
2022-09-14 14:00:00,12.3,12.4,,12.3,%
2022-08-17 14:00:00,12.3,12.0,,11.8,%
2022-06-22 14:00:00,11.7,11.4,,11.1,%
2022-05-18 14:00:00,11.1,11.1,,9,%
2022-04-13 14:00:00,9.0,8.8,,8.2,%
2022-03-23 15:00:00,8.2,8.2,,7.8,%
2022-02-16 15:00:00,7.8,7.5,,7.5,%
2022-01-19 15:00:00,7.5,7.1,,7.1,%
