datetime,UK_Unadj_Core_PPI_Outputs_YoY_Actual,UK_Unadj_Core_PPI_Outputs_YoY_Srv_Med,UK_Unadj_Core_PPI_Outputs_YoY_Revised,UK_Unadj_Core_PPI_Outputs_YoY_Prior,unit
2023-08-16 14:00:00,2.3,,3.1,3,%
2023-07-19 14:00:00,3.0,,3.9,4.1,%
2023-06-21 14:00:00,4.1,,,6,%
2023-05-24 14:00:00,6.0,,8.3,8.5,%
2023-04-19 14:00:00,8.5,,10.2,10.4,%
2023-03-22 15:00:00,10.4,,11.2,11.1,%
2023-02-15 15:00:00,11.1,,12.0,12.4,%
2023-01-25 15:00:00,12.4,,13.5,13,%
2022-11-16 15:00:00,13.3,,14.4,14,%
2022-10-19 14:00:00,14.0,,13.9,13.7,%
2022-09-14 14:00:00,13.7,,14.4,14.6,%
2022-08-17 14:00:00,14.6,,14.9,15.2,%
2022-06-22 14:00:00,14.8,,13.9,13,%
2022-05-18 14:00:00,13.0,,11.8,12,%
2022-04-13 14:00:00,12.0,,,9.9,%
2022-03-23 15:00:00,9.9,,9.5,9.3,%
2022-02-16 15:00:00,9.3,,8.6,8.7,%
2022-01-19 15:00:00,8.7,,8.2,7.9,%
