datetime,UK_Unadj_PPI_Inputs_YoY_Actual,UK_Unadj_PPI_Inputs_YoY_Srv_Med,UK_Unadj_PPI_Inputs_YoY_Revised,UK_Unadj_PPI_Inputs_YoY_Prior,unit
2023-08-16 14:00:00,-3.3,-3.1,-2.9,-2.7,%
2023-07-19 14:00:00,-2.7,-1.6,0.4,0.5,%
2023-06-21 14:00:00,0.5,1.2,4.2,3.9,%
2023-05-24 14:00:00,3.9,5.4,7.3,7.6,%
2023-04-19 14:00:00,7.6,7.0,12.8,12.7,%
2023-03-22 15:00:00,12.7,12.0,14.7,14.1,%
2023-02-15 15:00:00,14.1,14.7,16.2,16.5,%
2023-01-25 15:00:00,16.5,,,18,%
2022-11-16 15:00:00,19.2,18.0,20.8,20,%
2022-10-19 14:00:00,20.0,18.8,20.9,20.5,%
2022-09-14 14:00:00,20.5,22.4,,22.6,%
2022-08-17 14:00:00,22.6,23.9,24.1,24,%
2022-06-22 14:00:00,22.1,19.4,20.9,18.6,%
2022-05-18 14:00:00,18.6,19.0,18.6,19.2,%
2022-04-13 14:00:00,19.2,15.1,15.1,14.7,%
2022-03-23 15:00:00,14.7,13.9,14.2,13.6,%
2022-02-16 15:00:00,13.6,13.1,13.8,13.5,%
2022-01-19 15:00:00,13.5,13.7,15.2,14.3,%
