datetime,UK_Unadj_PPI_Outputs_YoY_Actual,UK_Unadj_PPI_Outputs_YoY_Srv_Med,UK_Unadj_PPI_Outputs_YoY_Revised,UK_Unadj_PPI_Outputs_YoY_Prior,unit
2023-08-16 14:00:00,-0.8,-1.3,0.3,0.1,%
2023-07-19 14:00:00,0.1,0.5,2.7,2.9,%
2023-06-21 14:00:00,2.9,3.6,5.2,5.4,%
2023-05-24 14:00:00,5.4,5.8,8.5,8.7,%
2023-04-19 14:00:00,8.7,8.6,11.9,12.1,%
2023-03-22 15:00:00,12.1,12.4,,13.5,%
2023-02-15 15:00:00,13.5,13.3,14.6,14.7,%
2023-01-25 15:00:00,14.7,,17.5,16.2,%
2022-11-16 15:00:00,14.8,14.6,16.3,15.9,%
2022-10-19 14:00:00,15.9,15.7,16.4,16.1,%
2022-09-14 14:00:00,16.1,17.4,,17.1,%
2022-08-17 14:00:00,17.1,16.2,16.4,16.5,%
2022-06-22 14:00:00,15.7,14.7,14.7,14,%
2022-05-18 14:00:00,14.0,12.5,,11.9,%
2022-04-13 14:00:00,11.9,11.1,10.2,10.1,%
2022-03-23 15:00:00,10.1,10.1,,9.9,%
2022-02-16 15:00:00,9.9,9.1,,9.3,%
2022-01-19 15:00:00,9.3,9.4,9.4,9.1,%
