datetime,UK_3_Month_Avg_Earnings_Excluding_Bonus_YoY_Actual,UK_3_Month_Avg_Earnings_Excluding_Bonus_YoY_Srv_Med,UK_3_Month_Avg_Earnings_Excluding_Bonus_YoY_Revised,UK_3_Month_Avg_Earnings_Excluding_Bonus_YoY_Prior,unit
2023-08-15 14:00:00,7.8,7.4,7.5,7.3,%
2023-07-11 14:00:00,7.3,7.1,7.3,7.2,%
2023-06-13 14:00:00,7.2,6.9,6.8,6.7,%
2023-05-16 14:00:00,6.7,6.8,,6.6,%
2023-04-18 14:00:00,6.6,6.2,6.6,6.5,%
2023-03-14 15:00:00,6.5,6.6,,6.7,%
2023-02-14 15:00:00,6.7,6.5,6.5,6.4,%
2023-01-17 15:00:00,6.4,6.3,,6.1,%
2022-12-13 15:00:00,6.1,5.9,5.8,5.7,%
2022-11-15 15:00:00,5.7,5.5,5.5,5.4,%
2022-10-11 14:00:00,5.4,5.3,,5.2,%
2022-09-13 14:00:00,5.2,5.0,,4.7,%
2022-08-16 14:00:00,4.7,4.5,4.4,4.3,%
2022-06-14 14:00:00,4.2,4.0,4.1,4.2,%
2022-05-17 14:00:00,4.2,4.1,4.1,4,%
2022-04-12 14:00:00,4.0,4.0,,3.8,%
2022-03-15 15:00:00,3.8,3.7,3.7,3.7,%
2022-02-15 15:00:00,3.7,3.6,,3.8,%
2022-01-18 15:00:00,3.8,3.8,,4.3,%
