datetime,UK_3_Month_ILO_Unemployment_Rate_Actual,UK_3_Month_ILO_Unemployment_Rate_Srv_Med,UK_3_Month_ILO_Unemployment_Rate_Revised,UK_3_Month_ILO_Unemployment_Rate_Prior,unit
2023-08-15 14:00:00,4.2,4.0,,4,%
2023-07-11 14:00:00,4.0,3.8,,3.8,%
2023-06-13 14:00:00,3.8,4.0,,3.9,%
2023-05-16 14:00:00,3.9,3.8,,3.8,%
2023-04-18 14:00:00,3.8,3.7,,3.7,%
2023-03-14 15:00:00,3.7,3.8,,3.7,%
2023-02-14 15:00:00,3.7,3.7,,3.7,%
2023-01-17 15:00:00,3.7,3.7,,3.7,%
2022-12-13 15:00:00,3.7,3.7,,3.6,%
2022-11-15 15:00:00,3.6,3.5,,3.5,%
2022-10-11 14:00:00,3.5,3.6,,3.6,%
2022-09-13 14:00:00,3.6,3.8,,3.8,%
2022-08-16 14:00:00,3.8,3.8,,3.8,%
2022-06-14 14:00:00,3.8,3.6,,3.7,%
2022-05-17 14:00:00,3.7,3.8,,3.8,%
2022-04-12 14:00:00,3.8,3.8,,3.9,%
2022-03-15 15:00:00,3.9,4.0,,4.1,%
2022-02-15 15:00:00,4.1,4.1,,4.1,%
2022-01-18 15:00:00,4.1,4.2,,4.2,%
