datetime,UK_Claimant_Count_Change_Actual,UK_Claimant_Count_Change_Srv_Med,UK_Claimant_Count_Change_Revised,UK_Claimant_Count_Change_Prior,unit
2023-08-15 14:00:00,2.9,,1.62,2.57,万人
2023-07-11 14:00:00,2.57,,-2.25,-1.36,万人
2023-06-13 14:00:00,-1.36,,2.34,4.67,万人
2023-05-16 14:00:00,4.67,,2.65,2.82,万人
2023-04-18 14:00:00,2.82,,-1.88,-1.12,万人
2023-03-14 15:00:00,-1.12,,-3.03,-1.29,万人
2023-02-14 15:00:00,-1.29,,-0.32,1.97,万人
2023-01-17 15:00:00,1.97,,1.61,3.05,万人
2022-12-13 15:00:00,3.05,,-0.64,0.33,万人
2022-11-15 15:00:00,0.33,,0.39,2.55,万人
2022-10-11 14:00:00,2.55,,0.11,0.63,万人
2022-09-13 14:00:00,0.63,,-1.45,-1.06,万人
2022-08-16 14:00:00,-1.05,,-2.68,-2,万人
2022-06-14 14:00:00,-1.97,,-6.55,-5.69,万人
2022-05-17 14:00:00,-5.69,-4.25,-8.16,-4.69,万人
2022-04-12 14:00:00,-4.69,,-5.8,-4.81,万人
2022-03-15 15:00:00,-4.81,,-6.73,-3.19,万人
2022-02-15 15:00:00,-3.19,-2.8,-5.16,-4.33,万人
2022-01-18 15:00:00,-4.33,,-9.51,-4.98,万人
