datetime,US_Continuing_Jobless_Claims_Actual,US_Continuing_Jobless_Claims_Srv_Med,US_Continuing_Jobless_Claims_Revised,US_Continuing_Jobless_Claims_Prior,unit
2023-08-24 20:30:00,170.2,170.8,171.1,171.6,万人
2023-08-17 20:30:00,171.6,170.0,,168.4,万人
2023-08-10 20:30:00,168.4,171.0,169.2,170.0,万人
2023-08-03 20:30:00,170.0,170.0,167.9,169.0,万人
2023-07-27 20:30:00,169.0,175.0,174.9,175.4,万人
2023-07-20 20:30:00,175.4,172.9,172.1,172.9,万人
2023-07-13 20:30:00,172.9,172.3,171.8,172.0,万人
2023-07-06 20:30:00,172.0,174.5,173.3,174.2,万人
2023-06-29 20:30:00,174.2,176.5,176.1,175.9,万人
2023-06-22 20:30:00,175.9,178.2,177.2,177.5,万人
2023-06-15 20:30:00,177.5,176.5,175.5,175.7,万人
2023-06-08 20:30:00,175.7,180.0,179.4,179.5,万人
2023-06-01 20:30:00,179.5,180.0,178.9,179.4,万人
2023-05-25 20:30:00,179.4,180.0,,179.9,万人
2023-05-18 20:30:00,179.9,181.8,180.7,181.3,万人
2023-05-11 20:30:00,181.3,182.0,180.1,180.5,万人
2023-05-04 20:30:00,180.5,186.5,184.3,185.8,万人
2023-04-27 20:30:00,185.8,187.8,186.1,186.5,万人
2023-04-20 20:30:00,186.5,182.0,180.4,181.0,万人
2023-04-13 20:30:00,181.0,181.4,,182.3,万人
2023-04-06 20:30:00,182.3,169.9,181.7,168.9,万人
2023-03-30 20:30:00,168.9,169.7,168.5,169.4,万人
2023-03-23 20:30:00,169.4,168.4,168.0,168.4,万人
2023-03-16 20:30:00,168.4,171.5,171.3,171.8,万人
2023-03-09 21:30:00,171.8,165.9,164.9,165.5,万人
2023-03-02 21:30:00,165.5,166.5,166.0,165.4,万人
2023-02-23 21:30:00,165.4,170.0,169.1,169.6,万人
2023-02-16 21:30:00,169.6,169.5,168.0,168.8,万人
2023-02-09 21:30:00,168.8,165.8,165.0,165.5,万人
2023-02-02 21:30:00,165.5,167.7,166.6,167.5,万人
2023-01-26 21:30:00,167.5,165.9,165.5,164.7,万人
2023-01-19 21:30:00,164.7,166.0,163.0,163.4,万人
2023-01-12 21:30:00,163.4,170.5,169.7,169.4,万人
2023-01-05 21:30:00,169.4,170.8,171.8,171.0,万人
2022-12-29 21:30:00,171.0,168.6,166.9,167.2,万人
2022-12-22 21:30:00,167.2,168.3,167.8,167.1,万人
2022-12-15 21:30:00,167.1,167.1,167.0,167.1,万人
2022-12-08 21:30:00,167.1,160.0,160.9,160.8,万人
2022-11-23 21:30:00,155.1,151.7,150.3,150.7,万人
2022-11-10 21:30:00,149.3,147.5,148.7,148.5,万人
2022-11-03 20:30:00,148.5,145.0,,143.8,万人
2022-10-27 20:30:00,143.8,138.8,138.3,138.5,万人
2022-10-20 20:30:00,138.5,137.5,136.4,136.8,万人
2022-10-13 20:30:00,136.8,136.5,136.5,136.1,万人
2022-10-06 20:30:00,136.1,134.5,134.6,134.7,万人
2022-09-29 20:30:00,134.7,138.8,137.6,137.9,万人
2022-09-22 20:30:00,137.9,140.0,140.1,140.3,万人
2022-09-15 20:30:00,140.3,147.5,140.1,147.3,万人
2022-09-08 20:30:00,147.3,143.5,143.7,143.8,万人
2022-09-01 20:30:00,143.8,143.8,141.2,141.5,万人
2022-08-25 20:30:00,141.5,144.2,143.4,143.7,万人
2022-08-18 20:30:00,143.7,143.8,143.0,142.8,万人
2022-08-11 20:30:00,142.8,140.7,142.0,141.6,万人
2022-08-04 20:30:00,141.6,137.0,136.8,135.9,万人
2022-07-07 20:30:00,137.5,132.7,132.4,132.8,万人
2022-06-30 20:30:00,132.8,131.0,133.1,131.5,万人
2022-06-23 20:30:00,131.5,131.5,131.0,131.2,万人
2022-06-16 20:30:00,131.2,130.2,130.9,130.6,万人
2022-06-09 20:30:00,130.6,130.5,130.6,130.9,万人
2022-06-02 20:30:00,130.9,132.5,134.3,134.6,万人
2022-05-26 20:30:00,134.6,131.0,131.5,131.7,万人
2022-05-19 20:30:00,131.7,132.0,134.2,134.3,万人
2022-05-12 20:30:00,134.3,138.0,138.7,138.4,万人
2022-05-05 20:30:00,138.4,140.0,140.3,140.8,万人
2022-04-28 20:30:00,140.8,140.3,140.9,141.7,万人
2022-04-21 20:30:00,141.7,145.5,,147.5,万人
2022-04-14 20:30:00,147.5,150.0,,152.3,万人
2022-04-07 20:30:00,152.3,131.1,,130.7,万人
2022-03-31 20:30:00,130.7,135.0,134.2,135.0,万人
2022-03-24 20:30:00,135.0,141.0,141.7,141.9,万人
2022-03-17 20:30:00,141.9,148.5,149.0,149.4,万人
2022-03-10 21:30:00,149.4,145.0,146.9,147.6,万人
2022-03-03 21:30:00,147.6,147.5,147.4,147.6,万人
2022-02-24 21:30:00,147.6,158.0,158.8,159.3,万人
2022-02-17 21:30:00,159.3,160.5,161.9,162.1,万人
2022-02-10 21:30:00,162.1,161.5,162.1,162.8,万人
2022-02-03 21:30:00,162.8,162.0,167.2,167.5,万人
2022-01-27 21:30:00,167.5,165.0,162.4,163.5,万人
2022-01-20 21:30:00,163.5,158.0,155.1,155.9,万人
2022-01-13 21:30:00,155.9,173.3,175.3,175.4,万人
2022-01-06 21:30:00,175.4,168.8,171.8,171.6,万人
