datetime,US_Initial_Jobless_Claims_Actual,US_Initial_Jobless_Claims_Srv_Med,US_Initial_Jobless_Claims_Revised,US_Initial_Jobless_Claims_Prior,unit
2023-08-24 20:30:00,23.0,24.0,24.0,23.9,万人
2023-08-17 20:30:00,23.9,24.0,25.0,24.8,万人
2023-08-10 20:30:00,24.8,23.0,,22.7,万人
2023-08-03 20:30:00,22.7,22.7,,22.1,万人
2023-07-27 20:30:00,22.1,23.5,,22.8,万人
2023-07-20 20:30:00,22.8,24.2,,23.7,万人
2023-07-13 20:30:00,23.7,25.0,24.9,24.8,万人
2023-07-06 20:30:00,24.8,24.5,23.6,23.9,万人
2023-06-29 20:30:00,23.9,26.5,26.5,26.4,万人
2023-06-22 20:30:00,26.4,26.0,26.4,26.2,万人
2023-06-15 20:30:00,26.2,24.9,26.2,26.1,万人
2023-06-08 20:30:00,26.1,23.5,23.3,23.2,万人
2023-06-01 20:30:00,23.2,23.5,23.0,22.9,万人
2023-05-25 20:30:00,22.9,24.5,22.5,24.2,万人
2023-05-18 20:30:00,24.2,25.4,,26.4,万人
2023-05-11 20:30:00,26.4,24.5,,24.2,万人
2023-05-04 20:30:00,24.2,24.0,22.9,23.0,万人
2023-04-27 20:30:00,23.0,24.8,24.6,24.5,万人
2023-04-20 20:30:00,24.5,24.0,24.0,23.9,万人
2023-04-13 20:30:00,23.9,23.2,,22.8,万人
2023-04-06 20:30:00,22.8,20.0,24.6,19.8,万人
2023-03-30 20:30:00,19.8,19.6,,19.1,万人
2023-03-23 20:30:00,19.1,19.7,,19.2,万人
2023-03-16 20:30:00,19.2,20.5,21.2,21.1,万人
2023-03-09 21:30:00,21.1,19.5,,19.0,万人
2023-03-02 21:30:00,19.0,19.5,,19.2,万人
2023-02-23 21:30:00,19.2,20.0,19.5,19.4,万人
2023-02-16 21:30:00,19.4,20.0,19.5,19.6,万人
2023-02-09 21:30:00,19.6,19.0,,18.3,万人
2023-02-02 21:30:00,18.3,20.0,,18.6,万人
2023-01-26 21:30:00,18.6,20.5,19.2,19.0,万人
2023-01-19 21:30:00,19.0,21.4,,20.5,万人
2023-01-12 21:30:00,20.5,21.5,20.6,20.4,万人
2023-01-05 21:30:00,20.4,22.5,22.3,22.5,万人
2022-12-29 21:30:00,22.5,22.5,,21.6,万人
2022-12-22 21:30:00,21.6,22.2,21.4,21.1,万人
2022-12-15 21:30:00,21.1,23.0,23.1,23.0,万人
2022-12-08 21:30:00,23.0,23.0,22.6,22.5,万人
2022-12-01 21:30:00,22.5,23.5,24.1,24.0,万人
2022-11-23 21:30:00,24.0,22.5,22.3,22.2,万人
2022-11-10 21:30:00,22.5,22.0,21.8,21.7,万人
2022-11-03 20:30:00,21.7,22.0,21.8,21.7,万人
2022-10-27 20:30:00,21.7,22.0,,21.4,万人
2022-10-20 20:30:00,21.4,23.0,22.6,22.8,万人
2022-10-13 20:30:00,22.8,22.5,,21.9,万人
2022-10-06 20:30:00,21.9,20.3,19.0,19.3,万人
2022-09-29 20:30:00,19.3,21.5,20.9,21.3,万人
2022-09-22 20:30:00,21.3,21.8,20.8,21.3,万人
2022-09-15 20:30:00,21.3,22.6,21.8,22.2,万人
2022-09-08 20:30:00,22.2,24.0,22.8,23.2,万人
2022-09-01 20:30:00,23.2,24.8,23.7,24.3,万人
2022-08-25 20:30:00,24.3,25.3,24.5,25.0,万人
2022-08-18 20:30:00,25.0,26.5,25.2,26.2,万人
2022-08-11 20:30:00,26.2,26.3,24.8,26.0,万人
2022-08-04 20:30:00,26.0,25.9,25.4,25.6,万人
2022-07-07 20:30:00,23.5,23.0,,23.1,万人
2022-06-30 20:30:00,23.1,22.8,23.3,22.9,万人
2022-06-23 20:30:00,22.9,22.7,23.1,22.9,万人
2022-06-16 20:30:00,22.9,21.5,23.2,22.9,万人
2022-06-09 20:30:00,22.9,21.0,20.2,20.0,万人
2022-06-02 20:30:00,20.0,21.0,21.1,21.0,万人
2022-05-26 20:30:00,21.0,21.5,,21.8,万人
2022-05-19 20:30:00,21.8,20.0,19.7,20.3,万人
2022-05-12 20:30:00,20.3,19.5,20.2,20.0,万人
2022-05-05 20:30:00,20.0,18.0,18.1,18.0,万人
2022-04-28 20:30:00,18.0,18.0,18.5,18.4,万人
2022-04-21 20:30:00,18.4,18.0,18.6,18.5,万人
2022-04-14 20:30:00,18.5,17.1,16.7,16.6,万人
2022-04-07 20:30:00,16.6,20.0,,20.2,万人
2022-03-31 20:30:00,20.2,19.7,18.8,18.7,万人
2022-03-24 20:30:00,18.7,21.2,21.5,21.4,万人
2022-03-17 20:30:00,21.4,22.0,22.9,22.7,万人
2022-03-10 21:30:00,22.7,21.6,21.6,21.5,万人
2022-03-03 21:30:00,21.5,22.5,23.3,23.2,万人
2022-02-24 21:30:00,23.2,23.5,24.9,24.8,万人
2022-02-17 21:30:00,24.8,21.9,22.5,22.3,万人
2022-02-10 21:30:00,22.3,23.0,23.9,23.8,万人
2022-02-03 21:30:00,23.8,24.5,26.1,26.0,万人
2022-01-27 21:30:00,26.0,26.0,29.0,28.6,万人
2022-01-20 21:30:00,28.6,22.0,23.1,23.0,万人
2022-01-13 21:30:00,23.0,20.0,,20.7,万人
2022-01-06 21:30:00,20.7,19.7,20.0,19.8,万人
