datetime,US_Initial_Jobless_Claims_4W_MA_Actual,US_Initial_Jobless_Claims_4W_MA_Srv_Med,US_Initial_Jobless_Claims_4W_MA_Revised,US_Initial_Jobless_Claims_4W_MA_Prior,unit
2023-08-24 20:30:00,23.675,,23.45,23.425,万人
2023-08-17 20:30:00,23.43,,23.15,23.1,万人
2023-08-10 20:30:00,23.1,,,22.825,万人
2023-08-03 20:30:00,22.83,,,23.375,万人
2023-07-27 20:30:00,23.38,,,23.75,万人
2023-07-20 20:30:00,23.75,,,24.675,万人
2023-07-13 20:30:00,24.68,,25.35,25.325,万人
2023-07-06 20:30:00,25.33,,25.68,25.75,万人
2023-06-29 20:30:00,25.75,,25.6,25.575,万人
2023-06-22 20:30:00,25.58,,24.73,24.675,万人
2023-06-15 20:30:00,24.68,,23.75,23.725,万人
2023-06-08 20:30:00,23.73,,22.98,22.95,万人
2023-06-01 20:30:00,22.95,,23.2,23.175,万人
2023-05-25 20:30:00,23.18,,23.18,24.425,万人
2023-05-18 20:30:00,24.43,,,24.525,万人
2023-05-11 20:30:00,24.53,,,23.925,万人
2023-05-04 20:30:00,23.93,,23.58,23.6,万人
2023-04-27 20:30:00,23.6,,24.0,23.975,万人
2023-04-20 20:30:00,23.98,,24.03,24.0,万人
2023-04-13 20:30:00,24.0,,,23.775,万人
2023-04-06 20:30:00,23.78,,24.2,19.825,万人
2023-03-30 20:30:00,19.83,,,19.625,万人
2023-03-23 20:30:00,19.63,,,19.65,万人
2023-03-16 20:30:00,19.65,,19.73,19.7,万人
2023-03-09 21:30:00,19.7,,,19.3,万人
2023-03-02 21:30:00,19.3,,,19.125,万人
2023-02-23 21:30:00,19.13,,18.98,18.95,万人
2023-02-16 21:30:00,18.95,,18.9,18.925,万人
2023-02-09 21:30:00,18.93,,,19.175,万人
2023-02-02 21:30:00,19.18,,,19.75,万人
2023-01-26 21:30:00,19.75,,20.68,20.6,万人
2023-01-19 21:30:00,20.6,,,21.25,万人
2023-01-12 21:30:00,21.25,,21.43,21.375,万人
2023-01-05 21:30:00,21.38,,22.05,22.1,万人
2022-12-29 21:30:00,22.1,,22.13,22.175,万人
2022-12-22 21:30:00,22.18,,22.8,22.725,万人
2022-12-15 21:30:00,22.73,,23.03,23.0,万人
2022-12-08 21:30:00,23.0,,22.9,22.875,万人
2022-11-23 21:30:00,22.68,,22.13,22.1,万人
2022-11-10 21:30:00,21.88,,21.9,21.875,万人
2022-11-03 20:30:00,21.88,,21.93,21.9,万人
2022-10-27 20:30:00,21.9,,,21.225,万人
2022-10-20 20:30:00,21.23,,21.1,21.15,万人
2022-10-13 20:30:00,21.15,,,20.65,万人
2022-10-06 20:30:00,20.65,,20.63,20.7,万人
2022-09-29 20:30:00,20.7,,21.58,21.675,万人
2022-09-22 20:30:00,21.68,,22.28,22.4,万人
2022-09-15 20:30:00,22.4,,23.2,23.3,万人
2022-09-08 20:30:00,23.3,,24.05,24.15,万人
2022-09-01 20:30:00,24.15,,24.55,24.7,万人
2022-08-25 20:30:00,24.7,,24.55,24.675,万人
2022-08-18 20:30:00,24.68,,24.95,25.2,万人
2022-08-11 20:30:00,25.2,,24.75,25.475,万人
2022-08-04 20:30:00,25.48,,24.88,24.925,万人
2022-07-07 20:30:00,23.25,,,23.175,万人
2022-06-30 20:30:00,23.18,,22.45,22.35,万人
2022-06-23 20:30:00,22.35,,21.9,21.85,万人
2022-06-16 20:30:00,21.85,,21.58,21.5,万人
2022-06-09 20:30:00,21.5,,20.7,20.65,万人
2022-06-02 20:30:00,20.65,,20.7,20.675,万人
2022-05-26 20:30:00,20.68,,,19.95,万人
2022-05-19 20:30:00,19.95,,19.13,19.275,万人
2022-05-12 20:30:00,19.28,,18.85,18.8,万人
2022-05-05 20:30:00,18.8,,,17.975,万人
2022-04-28 20:30:00,17.98,,17.75,17.725,万人
2022-04-21 20:30:00,17.73,,17.28,17.225,万人
2022-04-14 20:30:00,17.23,,17.03,17.0,万人
2022-04-07 20:30:00,17.0,,,20.85,万人
2022-03-31 20:30:00,20.85,,21.2,21.175,万人
2022-03-24 20:30:00,21.18,,22.33,22.3,万人
2022-03-17 20:30:00,22.3,,23.18,23.125,万人
2022-03-10 21:30:00,23.13,,23.08,23.05,万人
2022-03-03 21:30:00,23.05,,23.65,23.625,万人
2022-02-24 21:30:00,23.63,,24.35,24.325,万人
2022-02-17 21:30:00,24.33,,25.38,25.325,万人
2022-02-10 21:30:00,25.33,,25.53,25.5,万人
2022-02-03 21:30:00,25.5,,24.73,24.7,万人
2022-01-27 21:30:00,24.7,,23.2,23.1,万人
2022-01-20 21:30:00,23.1,,21.1,21.075,万人
2022-01-13 21:30:00,21.08,,,20.45,万人
2022-01-06 21:30:00,20.45,,19.98,19.925,万人
