datetime,US_ADP_Nonfarm_Employment_Actual,US_ADP_Nonfarm_Employment_Srv_Med,US_ADP_Nonfarm_Employment_Revised,US_ADP_Nonfarm_Employment_Prior,unit
2023-08-02 20:15:00,32.4,18.9,45.5,49.7,万人
2023-07-06 20:15:00,49.7,22.8,26.7,27.8,万人
2023-06-01 20:15:00,27.8,17.0,29.1,29.6,万人
2023-05-03 20:15:00,29.6,14.8,14.2,14.5,万人
2023-04-05 20:15:00,14.5,20.0,26.1,24.2,万人
2023-03-08 21:15:00,24.2,20.0,11.9,10.6,万人
2023-02-01 21:15:00,10.6,17.8,25.3,23.5,万人
2023-01-05 21:15:00,23.5,15.0,18.2,12.7,万人
2022-11-30 21:15:00,12.7,20.0,,23.9,万人
2022-11-02 20:15:00,23.9,19.5,19.2,20.8,万人
2022-10-05 20:15:00,20.8,20.0,18.5,13.2,万人
2022-08-31 20:15:00,13.2,30.0,35.8,,万人
2022-06-02 20:15:00,12.8,30.0,20.2,24.7,万人
2022-05-04 20:15:00,24.7,39.5,47.9,45.5,万人
2022-03-30 20:15:00,45.5,45.0,48.6,47.5,万人
2022-03-02 21:15:00,47.5,38.8,50.9,-30.1,万人
2022-02-02 21:15:00,-30.1,20.7,77.6,80.7,万人
2022-01-05 21:15:00,80.7,40.0,50.5,53.4,万人
