datetime,US_Conference_Board_Consumer_Confidence_Actual,US_Conference_Board_Consumer_Confidence_Srv_Med,US_Conference_Board_Consumer_Confidence_Revised,US_Conference_Board_Consumer_Confidence_Prior,unit
2023-07-25 22:00:00,117.0,111.8,110.1,109.7,
2023-06-27 22:00:00,109.7,104.0,102.5,102.3,
2023-05-30 22:00:00,102.3,99.0,103.7,101.3,
2023-04-25 22:00:00,101.3,104.0,104.0,104.2,
2023-03-28 22:00:00,104.2,101.0,103.4,102.9,
2023-02-28 23:00:00,102.9,108.5,106.0,107.1,
2023-01-31 23:00:00,107.1,109.0,109.0,108.3,
2022-12-21 23:00:00,108.3,101.0,101.4,100.2,
2022-11-29 23:00:00,100.2,100.0,102.2,102.5,
2022-10-25 22:00:00,102.5,106.5,107.8,108,
2022-09-27 22:00:00,108.0,140.5,103.6,103.2,
2022-08-30 22:00:00,103.2,97.9,95.3,95.7,
2022-07-26 22:00:00,95.7,97.2,98.4,98.7,
2022-06-28 22:00:00,98.7,100.4,103.2,106.4,
2022-05-31 22:00:00,106.4,103.9,108.6,107.3,
2022-04-26 22:00:00,107.3,108.0,107.6,107.2,
2022-03-29 22:00:00,107.2,107.0,105.7,110.5,
2022-01-25 23:00:00,113.8,111.8,115.2,115.8,
