datetime,US_Conference_Board_Current_Situation_Actual,US_Conference_Board_Current_Situation_Srv_Med,US_Conference_Board_Current_Situation_Revised,US_Conference_Board_Current_Situation_Prior,unit
2023-07-25 22:00:00,160.0,,,155.3,
2023-06-27 22:00:00,155.3,,,148.6,
2023-05-30 22:00:00,148.6,,,151.1,
2023-04-25 22:00:00,151.1,,,151.1,
2023-03-28 22:00:00,151.1,,,152.8,
2023-02-28 23:00:00,152.8,,,150.9,
2023-01-31 23:00:00,150.9,,,147.2,
2022-12-21 23:00:00,147.2,,,137.4,
2022-11-29 23:00:00,137.4,,,138.9,
2022-10-25 22:00:00,138.9,,,149.6,
2022-09-27 22:00:00,149.6,,,145.4,
2022-08-30 22:00:00,145.4,,,141.3,
2022-07-26 22:00:00,141.3,,,147.1,
2022-06-28 22:00:00,147.1,,,149.6,
2022-05-31 22:00:00,149.6,,,152.6,
2022-04-26 22:00:00,152.6,,,153,
2022-03-29 22:00:00,153.0,,,145.1,
2022-01-25 23:00:00,148.2,,,144.1,
