datetime,US_Conference_Board_Expectations_Actual,US_Conference_Board_Expectations_Srv_Med,US_Conference_Board_Expectations_Revised,US_Conference_Board_Expectations_Prior,unit
2023-07-25 22:00:00,88.3,,,79.3,
2023-06-27 22:00:00,79.3,,,71.5,
2023-05-30 22:00:00,71.5,,,68.1,
2023-04-25 22:00:00,68.1,,,73,
2023-03-28 22:00:00,73.0,,,69.7,
2023-02-28 23:00:00,69.7,,,77.8,
2023-01-31 23:00:00,77.8,,,82.4,
2022-12-21 23:00:00,82.4,,,75.4,
2022-11-29 23:00:00,75.4,,,78.1,
2022-10-25 22:00:00,78.1,,,80.3,
2022-09-27 22:00:00,80.3,,,75.1,
2022-08-30 22:00:00,75.1,,,65.3,
2022-07-26 22:00:00,65.3,,,66.4,
2022-06-28 22:00:00,66.4,,,77.5,
2022-05-31 22:00:00,77.5,,,77.2,
2022-04-26 22:00:00,77.2,,,76.6,
2022-03-29 22:00:00,76.6,,,87.5,
2022-01-25 23:00:00,90.8,,,96.9,
