datetime,US_Core_CPI_MoM_Actual,US_Core_CPI_MoM_Srv_Med,US_Core_CPI_MoM_Revised,US_Core_CPI_MoM_Prior,unit
2023-08-10 20:30:00,0.2,0.2,,0.2,%
2023-07-12 20:30:00,0.2,0.3,,0.4,%
2023-06-13 20:30:00,0.4,0.4,,0.4,%
2023-05-10 20:30:00,0.4,0.4,,0.4,%
2023-04-12 20:30:00,0.4,0.4,,0.5,%
2023-03-14 20:30:00,0.5,0.4,,0.4,%
2023-02-14 21:30:00,0.4,0.4,0.4,0.3,%
2023-01-12 21:30:00,0.3,0.3,,0.2,%
2022-12-13 21:30:00,0.2,0.3,,0.3,%
2022-11-10 21:30:00,0.3,0.5,,0.6,%
2022-10-13 20:30:00,0.6,0.5,,0.6,%
2022-09-13 20:30:00,0.6,0.3,,0.3,%
2022-08-10 20:30:00,0.3,0.5,,0.7,%
2022-07-13 20:30:00,0.7,0.6,,0.6,%
2022-06-10 20:30:00,0.6,0.5,,0.6,%
2022-05-11 20:30:00,0.6,0.4,,0.3,%
2022-04-12 20:30:00,0.3,0.5,,0.5,%
2022-03-10 21:30:00,0.5,0.5,,0.6,%
2022-02-10 21:30:00,0.6,0.5,,0.6,%
