datetime,US_Unadj_CPI_Actual,US_Unadj_CPI_Srv_Med,US_Unadj_CPI_Revised,US_Unadj_CPI_Prior,unit
2023-08-10 20:30:00,305.69,305.84,,305.109,
2023-07-12 20:30:00,305.11,305.22,,304.127,
2023-06-13 20:30:00,304.13,304.06,,303.363,
2023-05-10 20:30:00,303.36,303.53,,301.836,
2023-04-12 20:30:00,301.84,302.25,,300.84,
2023-03-14 20:30:00,300.84,300.86,,299.17,
2023-02-14 21:30:00,299.17,298.66,,296.797,
2023-01-12 21:30:00,296.8,296.7,,297.711,
2022-12-13 21:30:00,297.71,298.05,,298.012,
2022-11-10 21:30:00,298.01,298.58,,296.808,
2022-10-13 20:30:00,296.81,296.43,,296.171,
2022-09-13 20:30:00,296.17,295.53,,296.276,
2022-08-10 20:30:00,296.28,296.67,,296.311,
2022-07-13 20:30:00,296.31,295.67,,292.296,
2022-06-10 20:30:00,292.3,291.66,,289.109,
2022-05-11 20:30:00,289.11,288.65,,287.504,
2022-04-12 20:30:00,287.5,287.41,,283.716,
2022-03-10 21:30:00,283.72,283.7,,281.148,
2022-02-10 21:30:00,281.15,280.39,,278.802,
