datetime,US_Unadj_CPI_YoY_Actual,US_Unadj_CPI_YoY_Srv_Med,US_Unadj_CPI_YoY_Revised,US_Unadj_CPI_YoY_Prior,unit
2023-08-10 20:30:00,3.2,3.3,,3,%
2023-07-12 20:30:00,3.0,3.1,,4,%
2023-06-13 20:30:00,4.0,4.1,,4.9,%
2023-05-10 20:30:00,4.9,5.0,,5,%
2023-04-12 20:30:00,5.0,5.2,,6,%
2023-03-14 20:30:00,6.0,6.0,,6.4,%
2023-02-14 21:30:00,6.4,6.2,,6.5,%
2023-01-12 21:30:00,6.5,6.5,,7.1,%
2022-12-13 21:30:00,7.1,7.3,,7.7,%
2022-11-10 21:30:00,7.7,8.0,,8.2,%
2022-10-13 20:30:00,8.2,8.1,,8.3,%
2022-09-13 20:30:00,8.3,8.1,,8.5,%
2022-08-10 20:30:00,8.5,8.7,,9.1,%
2022-07-13 20:30:00,9.1,8.8,,8.6,%
2022-06-10 20:30:00,8.6,8.3,,8.3,%
2022-05-11 20:30:00,8.3,8.1,,8.5,%
2022-04-12 20:30:00,8.5,8.4,,7.9,%
2022-03-10 21:30:00,7.9,7.9,,7.5,%
2022-02-10 21:30:00,7.5,7.3,,7,%
