datetime,US_Unadj_Core_CPI_YoY_Actual,US_Unadj_Core_CPI_YoY_Srv_Med,US_Unadj_Core_CPI_YoY_Revised,US_Unadj_Core_CPI_YoY_Prior,unit
2023-08-10 20:30:00,4.7,4.8,,4.8,%
2023-07-12 20:30:00,4.8,5.0,,5.3,%
2023-06-13 20:30:00,5.3,5.3,,5.5,%
2023-05-10 20:30:00,5.5,5.5,,5.6,%
2023-04-12 20:30:00,5.6,5.6,,5.5,%
2023-03-14 20:30:00,5.5,5.5,,5.6,%
2023-02-14 21:30:00,5.6,5.5,,5.7,%
2023-01-12 21:30:00,5.7,5.7,,6,%
2022-12-13 21:30:00,6.0,6.1,,6.3,%
2022-11-10 21:30:00,6.3,6.5,,6.6,%
2022-10-13 20:30:00,6.6,6.5,,6.3,%
2022-09-13 20:30:00,6.3,6.1,,5.9,%
2022-08-10 20:30:00,5.9,6.1,,5.9,%
2022-07-13 20:30:00,5.9,5.7,,6,%
2022-06-10 20:30:00,6.0,5.9,,6.2,%
2022-05-11 20:30:00,6.2,6.0,,6.5,%
2022-04-12 20:30:00,6.5,6.6,,6.4,%
2022-03-10 21:30:00,6.4,6.4,,6,%
2022-02-10 21:30:00,6.0,5.9,,5.5,%
