datetime,US_Chicago_Fed_National_Activity_Index_Actual,US_Chicago_Fed_National_Activity_Index_Srv_Med,US_Chicago_Fed_National_Activity_Index_Revised,US_Chicago_Fed_National_Activity_Index_Prior,unit
2023-08-24 20:30:00,0.12,-0.22,-0.33,-0.32,
2023-07-24 20:30:00,-0.32,-0.16,-0.28,-0.15,
2023-06-22 20:30:00,-0.15,,0.14,0.07,
2023-05-25 20:30:00,0.07,-0.2,-0.37,-0.19,
2023-04-24 20:30:00,-0.19,-0.2,,-0.19,
2023-03-23 20:30:00,-0.19,0.1,,0.23,
2023-02-23 21:30:00,0.23,-0.25,-0.46,-0.49,
2023-01-26 21:30:00,-0.49,,0.0,-0.05,
2022-11-21 21:30:00,-0.05,-0.03,0.17,0.1,
2022-10-24 20:30:00,0.1,-0.1,0.1,0.0,
2022-09-26 20:30:00,0.0,0.23,0.29,0.27,
2022-08-22 20:30:00,0.27,-0.25,-0.25,-0.19,
2022-06-21 20:30:00,0.01,0.47,0.4,0.47,
2022-05-23 20:30:00,0.47,0.5,0.36,0.44,
2022-04-25 20:30:00,0.44,0.45,0.54,0.51,
2022-03-21 20:30:00,0.51,0.5,0.59,0.69,
2022-02-24 21:30:00,0.69,0.16,0.07,-0.15,
2022-01-24 21:30:00,-0.15,,0.44,0.37,
