datetime,US_Durable_Goods_Ex_Aircraft_Defense_MoM_Actual,US_Durable_Goods_Ex_Aircraft_Defense_MoM_Srv_Med,US_Durable_Goods_Ex_Aircraft_Defense_MoM_Revised,US_Durable_Goods_Ex_Aircraft_Defense_MoM_Prior,unit
2023-08-24 20:30:00,0.1,0.1,-0.4,0.1,%
2023-07-27 20:30:00,0.2,-0.1,0.5,0.7,%
2023-06-27 20:30:00,0.7,0.0,0.6,1.3,%
2023-05-26 20:30:00,1.4,-0.2,-0.6,-0.6,%
2023-04-26 20:30:00,-0.4,-0.1,-0.7,-0.1,%
2023-03-24 20:30:00,0.2,0.0,,0.8,%
2023-02-27 21:30:00,0.8,0.0,,-0.1,%
2023-01-26 21:30:00,-0.2,-0.2,,0.1,%
2022-12-23 21:30:00,0.2,0.0,,0.6,%
2022-11-23 21:30:00,0.7,0.0,,-0.4,%
2022-10-27 20:30:00,-0.7,0.5,,1.4,%
2022-09-27 20:30:00,1.3,0.2,,0.3,%
2022-08-24 20:30:00,0.4,0.3,,0.7,%
2022-06-27 20:30:00,0.5,0.3,,0.4,%
2022-05-25 20:30:00,0.3,0.5,,1.3,%
2022-04-26 20:30:00,1.0,0.5,,-0.2,%
2022-03-24 20:30:00,-0.3,0.5,,1.0,%
2022-02-25 21:30:00,0.9,0.5,,0.3,%
2022-01-27 21:30:00,0.0,0.4,,0.0,%
