datetime,US_Durable_Goods_Ex_Transport_MoM_Actual,US_Durable_Goods_Ex_Transport_MoM_Srv_Med,US_Durable_Goods_Ex_Transport_MoM_Revised,US_Durable_Goods_Ex_Transport_MoM_Prior,unit
2023-08-24 20:30:00,0.5,0.2,0.2,0.5,%
2023-07-27 20:30:00,0.6,0.0,,0.7,%
2023-06-27 20:30:00,0.6,-0.1,-0.6,-0.3,%
2023-05-26 20:30:00,-0.2,-0.1,0.3,0.2,%
2023-04-26 20:30:00,0.3,-0.2,-0.3,-0.1,%
2023-03-24 20:30:00,0.0,0.2,,0.8,%
2023-02-27 21:30:00,0.7,0.1,,-0.2,%
2023-01-26 21:30:00,-0.1,-0.2,,0.1,%
2022-12-23 21:30:00,0.2,0.0,,0.5,%
2022-11-23 21:30:00,0.5,0.0,,-0.5,%
2022-10-27 20:30:00,-0.5,0.2,,0.3,%
2022-09-27 20:30:00,0.2,0.2,,0.2,%
2022-08-24 20:30:00,0.3,0.2,,0.4,%
2022-06-27 20:30:00,0.7,0.3,,0.4,%
2022-05-25 20:30:00,0.3,0.6,,1.4,%
2022-04-26 20:30:00,1.1,0.6,,-0.6,%
2022-03-24 20:30:00,-0.6,0.6,,0.7,%
2022-02-25 21:30:00,0.7,0.4,,0.6,%
2022-01-27 21:30:00,0.4,0.4,,0.9,%
