datetime,US_Durable_Goods_Orders_MoM_Actual,US_Durable_Goods_Orders_MoM_Srv_Med,US_Durable_Goods_Orders_MoM_Revised,US_Durable_Goods_Orders_MoM_Prior,unit
2023-08-24 20:30:00,-5.2,-4.0,4.4,4.6,%
2023-07-27 20:30:00,4.7,1.0,2.0,1.8,%
2023-06-27 20:30:00,1.7,-1.0,1.2,1.1,%
2023-05-26 20:30:00,1.1,-1.0,3.3,3.2,%
2023-04-26 20:30:00,3.2,0.7,-1.2,-1.0,%
2023-03-24 20:30:00,-1.0,0.6,-5.0,-4.5,%
2023-02-27 21:30:00,-4.5,-4.0,5.1,5.6,%
2023-01-26 21:30:00,5.6,2.5,-1.7,-2.1,%
2022-12-23 21:30:00,-2.1,-0.6,0.7,1.1,%
2022-11-23 21:30:00,1.0,0.4,0.3,0.4,%
2022-10-27 20:30:00,0.4,0.6,0.2,-0.2,%
2022-09-27 20:30:00,-0.2,-0.4,,-0.1,%
2022-08-24 20:30:00,0.0,0.6,2.2,2.0,%
2022-06-27 20:30:00,0.7,0.1,0.4,0.5,%
2022-05-25 20:30:00,0.4,0.6,0.6,1.1,%
2022-04-26 20:30:00,0.8,1.0,-1.7,-2.1,%
2022-03-24 20:30:00,-2.2,-0.5,,1.6,%
2022-02-25 21:30:00,1.6,0.8,1.2,-0.7,%
2022-01-27 21:30:00,-0.9,-0.5,3.2,2.6,%
