datetime,US_1Y_Inflation_Rate_Expectations_Actual,US_1Y_Inflation_Rate_Expectations_Srv_Med,US_1Y_Inflation_Rate_Expectations_Revised,US_1Y_Inflation_Rate_Expectations_Prior,unit
2023-08-11 22:00:00,3.3,3.5,,3.4,%
2023-07-28 22:00:00,3.4,,3.3,3.4,%
2023-07-14 22:00:00,3.4,3.1,,3.3,%
2023-06-30 22:00:00,3.3,3.3,,3.3,%
2023-06-16 22:00:00,3.3,4.1,,4.2,%
2023-05-26 22:00:00,4.2,4.5,,4.5,%
2023-05-12 22:00:00,4.5,4.4,,4.6,%
2023-04-28 22:00:00,4.6,,,4.6,%
2023-04-14 22:00:00,4.6,3.7,,3.6,%
2023-03-31 22:00:00,3.6,3.8,,3.8,%
2023-03-17 22:00:00,3.8,4.1,,4.1,%
2023-02-24 23:00:00,4.1,4.2,,4.2,%
2023-02-10 23:00:00,4.2,4.0,,3.9,%
2023-01-27 23:00:00,3.9,4.0,,4,%
2023-01-13 23:00:00,4.0,4.3,,4.4,%
2022-12-23 23:00:00,4.4,4.6,,4.6,%
2022-12-09 23:00:00,4.6,4.9,,4.9,%
2022-11-23 23:00:00,4.9,5.1,,5.1,%
2022-11-11 23:00:00,5.1,5.1,,5,%
2022-10-28 22:00:00,5.0,5.1,,5.1,%
2022-10-14 22:00:00,5.1,4.6,,4.7,%
2022-09-30 22:00:00,4.7,4.6,,4.6,%
2022-09-16 22:00:00,4.6,4.6,,4.8,%
2022-08-26 22:00:00,4.8,5.0,,5,%
2022-08-12 22:00:00,5.0,5.1,,5.2,%
2022-07-29 22:00:00,5.2,5.2,,5.2,%
2022-07-15 22:00:00,5.2,5.3,,5.3,%
2022-06-24 22:00:00,5.3,5.4,,5.4,%
2022-06-10 22:00:00,5.4,5.3,,5.3,%
2022-05-27 22:00:00,5.3,,,5.4,%
2022-05-13 22:00:00,5.4,5.5,,5.4,%
2022-04-29 22:00:00,5.4,5.5,,5.4,%
2022-04-14 22:00:00,5.4,5.6,,5.4,%
2022-03-25 22:00:00,5.4,5.4,,5.4,%
2022-03-11 23:00:00,5.4,5.1,,4.9,%
2022-02-25 23:00:00,4.9,,,5,%
2022-02-11 23:00:00,5.0,5.0,,4.9,%
2022-01-28 23:00:00,4.9,4.9,,4.9,%
2022-01-14 23:00:00,4.9,4.8,,4.8,%
