datetime,US_5Y_10Y_Inflation_Rate_Expectations_Actual,US_5Y_10Y_Inflation_Rate_Expectations_Srv_Med,US_5Y_10Y_Inflation_Rate_Expectations_Revised,US_5Y_10Y_Inflation_Rate_Expectations_Prior,unit
2023-08-11 22:00:00,2.9,3.0,,3,%
2023-07-28 22:00:00,3.0,3.0,3.0,3.1,%
2023-07-14 22:00:00,3.1,3.0,,3,%
2023-06-30 22:00:00,3.0,3.0,,3,%
2023-06-16 22:00:00,3.0,3.0,,3.1,%
2023-05-26 22:00:00,3.1,3.1,,3.2,%
2023-05-12 22:00:00,3.2,2.9,,3,%
2023-04-28 22:00:00,3.0,,,2.9,%
2023-04-14 22:00:00,2.9,2.9,,2.9,%
2023-03-31 22:00:00,2.9,2.8,,2.8,%
2023-03-17 22:00:00,2.8,2.9,,2.9,%
2023-02-24 23:00:00,2.9,2.9,,2.9,%
2023-02-10 23:00:00,2.9,2.9,,2.9,%
2023-01-27 23:00:00,2.9,3.0,,3,%
2023-01-13 23:00:00,3.0,2.9,,2.9,%
2022-12-23 23:00:00,2.9,3.0,,3,%
2022-12-09 23:00:00,3.0,3.0,,3,%
2022-11-23 23:00:00,3.0,3.0,,3,%
2022-11-11 23:00:00,3.0,2.9,,2.9,%
2022-10-28 22:00:00,2.9,2.9,,2.9,%
2022-10-14 22:00:00,2.9,2.8,,2.7,%
2022-09-30 22:00:00,2.7,2.8,,2.8,%
2022-09-16 22:00:00,2.8,2.9,,2.9,%
2022-08-26 22:00:00,2.9,3.0,,3,%
2022-08-12 22:00:00,3.0,2.8,,2.9,%
2022-07-29 22:00:00,2.9,2.8,,2.8,%
2022-07-15 22:00:00,2.8,3.0,,3.1,%
2022-06-24 22:00:00,3.1,3.3,,3.3,%
2022-06-10 22:00:00,3.3,,,3,%
2022-05-27 22:00:00,3.0,,,3,%
2022-05-13 22:00:00,3.0,,,3,%
2022-04-29 22:00:00,3.0,,,3,%
2022-04-14 22:00:00,3.0,,,3,%
2022-03-25 22:00:00,3.0,,,3,%
2022-03-11 23:00:00,3.0,,,3,%
2022-02-25 23:00:00,3.0,,,3.1,%
2022-02-11 23:00:00,3.1,,,3.1,%
2022-01-28 23:00:00,3.1,,,3.1,%
2022-01-14 23:00:00,3.1,,,2.9,%
