datetime,US_UMich_Consumer_Sentiment_Final_Actual,US_UMich_Consumer_Sentiment_Final_Srv_Med,US_UMich_Consumer_Sentiment_Final_Revised,US_UMich_Consumer_Sentiment_Final_Prior,unit
2023-07-28 22:00:00,71.6,72.6,,72.6,
2023-06-30 22:00:00,64.4,63.9,,63.9,
2023-05-26 22:00:00,59.2,57.7,,57.7,
2023-04-28 22:00:00,63.5,63.5,,63.5,
2023-03-31 22:00:00,62.0,63.2,,63.4,
2023-02-24 23:00:00,67.0,66.4,,66.4,
2023-01-27 23:00:00,64.9,64.6,,64.6,
2022-12-23 23:00:00,59.7,59.1,,59.1,
2022-11-23 23:00:00,56.8,55.0,,54.7,
2022-10-28 22:00:00,59.9,59.8,,59.8,
2022-09-30 22:00:00,58.6,59.5,,59.5,
2022-08-26 22:00:00,58.2,55.2,,55.1,
2022-07-29 22:00:00,51.5,51.1,,51.1,
2022-06-24 22:00:00,50.0,50.2,,50.2,
2022-05-27 22:00:00,58.4,59.1,,59.1,
2022-04-29 22:00:00,65.2,65.7,,65.7,
2022-03-25 22:00:00,59.4,59.7,,59.7,
2022-02-25 23:00:00,62.8,61.7,,61.7,
2022-01-28 23:00:00,67.2,68.7,,68.8,
