datetime,US_UMich_Current_Conditions_Final_Actual,US_UMich_Current_Conditions_Final_Srv_Med,US_UMich_Current_Conditions_Final_Revised,US_UMich_Current_Conditions_Final_Prior,unit
2023-07-28 22:00:00,76.6,,,77.5,
2023-06-30 22:00:00,69.0,68.0,,68,
2023-05-26 22:00:00,64.9,,,64.5,
2023-04-28 22:00:00,68.2,68.6,,68.6,
2023-03-31 22:00:00,66.3,66.4,,66.4,
2023-02-24 23:00:00,70.7,72.7,,72.6,
2023-01-27 23:00:00,68.4,68.6,,68.6,
2022-12-23 23:00:00,59.4,60.3,,60.2,
2022-11-23 23:00:00,58.8,57.8,,57.8,
2022-10-28 22:00:00,65.6,65.3,,65.3,
2022-09-30 22:00:00,59.7,58.9,,58.9,
2022-08-26 22:00:00,58.6,55.6,,55.5,
2022-07-29 22:00:00,58.1,57.1,,57.1,
2022-06-24 22:00:00,53.8,55.4,,55.4,
2022-05-27 22:00:00,63.3,,,63.6,
2022-04-29 22:00:00,69.4,68.0,,68.1,
2022-03-25 22:00:00,67.2,67.8,,67.8,
2022-02-25 23:00:00,68.2,68.5,,68.5,
2022-01-28 23:00:00,72.0,73.2,,73.2,
