datetime,US_UMich_Expectations_Final_Actual,US_UMich_Expectations_Final_Srv_Med,US_UMich_Expectations_Final_Revised,US_UMich_Expectations_Final_Prior,unit
2023-07-28 22:00:00,68.3,,,69.4,
2023-06-30 22:00:00,61.5,61.3,,61.3,
2023-05-26 22:00:00,55.4,,,53.4,
2023-04-28 22:00:00,60.5,60.4,,60.3,
2023-03-31 22:00:00,59.2,61.4,,61.5,
2023-02-24 23:00:00,64.7,62.5,,62.3,
2023-01-27 23:00:00,62.7,62.0,,62,
2022-12-23 23:00:00,59.9,58.5,,58.4,
2022-11-23 23:00:00,55.6,52.5,,52.7,
2022-10-28 22:00:00,56.2,56.1,,56.2,
2022-09-30 22:00:00,58.0,59.9,,59.9,
2022-08-26 22:00:00,58.0,55.0,,54.9,
2022-07-29 22:00:00,47.3,47.5,,47.3,
2022-06-24 22:00:00,47.5,,,46.8,
2022-05-27 22:00:00,55.2,,,56.3,
2022-04-29 22:00:00,62.5,64.1,,64.1,
2022-03-25 22:00:00,54.3,54.4,,54.4,
2022-02-25 23:00:00,59.4,57.3,,57.4,
2022-01-28 23:00:00,64.1,65.8,,65.9,
