datetime,US_Core_PCE_Price_Index_MoM_Actual,US_Core_PCE_Price_Index_MoM_Srv_Med,US_Core_PCE_Price_Index_MoM_Revised,US_Core_PCE_Price_Index_MoM_Prior,unit
2023-07-28 20:30:00,0.2,0.2,,0.3,%
2023-06-30 20:30:00,0.3,0.3,,0.4,%
2023-05-26 20:30:00,0.4,0.3,,0.3,%
2023-04-28 20:30:00,0.3,0.3,,0.3,%
2023-03-31 20:30:00,0.3,0.4,0.5,0.6,%
2023-02-24 21:30:00,0.6,0.4,0.4,0.3,%
2023-01-27 21:30:00,0.3,0.3,,0.2,%
2022-12-23 21:30:00,0.2,0.2,0.3,0.2,%
2022-12-01 21:30:00,0.2,0.3,,0.5,%
2022-10-28 20:30:00,0.5,0.5,0.5,0.6,%
2022-09-30 20:30:00,0.6,0.5,0.0,0.1,%
2022-08-26 20:30:00,0.1,0.3,,0.6,%
2022-07-29 20:30:00,0.6,0.5,,0.3,%
2022-06-30 20:30:00,0.3,0.4,,0.3,%
2022-05-27 20:30:00,0.3,0.3,,0.3,%
2022-04-29 20:30:00,0.3,0.3,0.3,0.4,%
2022-03-31 20:30:00,0.4,0.4,,0.5,%
2022-02-25 21:30:00,0.5,0.5,,0.5,%
2022-01-28 21:30:00,0.5,0.5,,0.5,%
