datetime,US_Core_PCE_Price_Index_YoY_Actual,US_Core_PCE_Price_Index_YoY_Srv_Med,US_Core_PCE_Price_Index_YoY_Revised,US_Core_PCE_Price_Index_YoY_Prior,unit
2023-07-28 20:30:00,4.1,4.2,,4.6,%
2023-06-30 20:30:00,4.6,4.7,,4.7,%
2023-05-26 20:30:00,4.7,4.6,,4.6,%
2023-04-28 20:30:00,4.6,4.5,4.7,4.6,%
2023-03-31 20:30:00,4.6,4.7,,4.7,%
2023-02-24 21:30:00,4.7,4.3,4.6,4.4,%
2023-01-27 21:30:00,4.4,4.4,,4.7,%
2022-12-23 21:30:00,4.7,4.7,,5,%
2022-12-01 21:30:00,5.0,5.0,5.2,5.1,%
2022-10-28 20:30:00,5.1,5.2,,4.9,%
2022-09-30 20:30:00,4.9,4.7,4.7,4.6,%
2022-08-26 20:30:00,4.6,4.7,,4.8,%
2022-07-29 20:30:00,4.8,4.7,,4.7,%
2022-06-30 20:30:00,4.7,4.8,,4.9,%
2022-05-27 20:30:00,4.9,4.9,,5.2,%
2022-04-29 20:30:00,5.2,5.3,5.3,5.4,%
2022-03-31 20:30:00,5.4,5.5,,5.2,%
2022-02-25 21:30:00,5.2,5.1,,4.9,%
2022-01-28 21:30:00,4.9,4.8,,4.7,%
