datetime,US_PCE_Price_Index_YoY_Actual,US_PCE_Price_Index_YoY_Srv_Med,US_PCE_Price_Index_YoY_Revised,US_PCE_Price_Index_YoY_Prior,unit
2023-07-28 20:30:00,3.0,3.0,,3.8,%
2023-06-30 20:30:00,3.8,3.8,4.3,4.4,%
2023-05-26 20:30:00,4.4,4.3,,4.2,%
2023-04-28 20:30:00,4.2,4.1,5.1,5,%
2023-03-31 20:30:00,5.0,5.1,5.3,5.4,%
2023-02-24 21:30:00,5.4,5.0,5.3,5,%
2023-01-27 21:30:00,5.0,5.0,,5.5,%
2022-12-23 21:30:00,5.5,5.5,6.1,6,%
2022-12-01 21:30:00,6.0,6.0,6.3,6.2,%
2022-10-28 20:30:00,6.2,6.3,,6.2,%
2022-09-30 20:30:00,6.2,6.0,6.4,6.3,%
2022-08-26 20:30:00,6.3,6.4,,6.8,%
2022-07-29 20:30:00,6.8,6.8,,6.3,%
2022-06-30 20:30:00,6.3,6.4,,6.3,%
2022-05-27 20:30:00,6.3,6.2,,6.6,%
2022-04-29 20:30:00,6.6,6.7,6.3,6.4,%
2022-03-31 20:30:00,6.4,6.4,6.0,6.1,%
2022-02-25 21:30:00,6.1,6.0,,5.8,%
2022-01-28 21:30:00,5.8,5.8,,5.7,%
