datetime,US_Personal_Income_MoM_Actual,US_Personal_Income_MoM_Srv_Med,US_Personal_Income_MoM_Revised,US_Personal_Income_MoM_Prior,unit
2023-07-28 20:30:00,0.5,0.4,0.2,0.1,%
2023-06-30 20:30:00,0.1,0.2,0.6,0.8,%
2023-05-26 20:30:00,0.8,0.4,0.1,0,%
2023-04-28 20:30:00,0.0,-0.1,0.1,0.2,%
2023-03-31 20:30:00,0.2,0.3,2.0,1.8,%
2023-02-24 21:30:00,1.8,1.3,-0.1,-0.2,%
2023-01-27 21:30:00,-0.2,-0.1,-0.1,0.1,%
2022-12-23 21:30:00,0.1,0.2,0.9,0.8,%
2022-12-01 21:30:00,0.8,0.8,,0.6,%
2022-10-28 20:30:00,0.6,0.4,0.6,0.4,%
2022-09-30 20:30:00,0.4,0.2,-0.2,0.1,%
2022-08-26 20:30:00,0.1,0.4,1.0,1.1,%
2022-07-29 20:30:00,1.1,0.9,0.3,0.2,%
2022-06-30 20:30:00,0.2,0.4,0.6,0.9,%
2022-05-27 20:30:00,0.9,0.7,1.4,1.1,%
2022-04-29 20:30:00,1.1,0.7,0.6,0.2,%
2022-03-31 20:30:00,0.2,0.5,2.7,2.1,%
2022-02-25 21:30:00,2.1,1.5,-0.8,-0.6,%
2022-01-28 21:30:00,-0.6,-0.6,0.4,0.6,%
