datetime,US_Markit_Composite_PMI_Final_Actual,US_Markit_Composite_PMI_Final_Srv_Med,US_Markit_Composite_PMI_Final_Revised,US_Markit_Composite_PMI_Final_Prior,unit
2023-08-03 21:45:00,52.0,,,52,
2023-07-06 21:45:00,53.2,,,53,
2023-06-05 21:45:00,54.3,54.5,,54.5,
2023-05-03 21:45:00,53.4,53.5,,53.5,
2023-04-05 21:45:00,52.3,53.3,,53.3,
2023-03-03 22:45:00,50.1,,,50.2,
2023-02-03 22:45:00,46.8,46.6,,46.6,
2023-01-05 22:45:00,45.0,,,44.6,
2022-12-05 22:45:00,46.4,46.3,,46.3,
2022-11-03 21:45:00,48.2,47.3,,47.3,
2022-10-05 21:45:00,49.5,49.3,,49.3,
2022-09-06 21:45:00,44.6,45.0,,45,
2022-08-03 21:45:00,47.7,,,47.5,
2022-07-06 21:45:00,52.3,51.2,,51.2,
2022-06-03 21:45:00,53.6,53.8,,53.8,
2022-05-04 21:45:00,56.0,55.1,,55.1,
2022-04-05 21:45:00,57.7,58.5,,58.5,
2022-03-03 22:45:00,55.9,56.0,,56,
2022-02-03 22:45:00,51.1,50.8,,50.8,
2022-01-05 22:45:00,57.0,,,56.9,
