datetime,US_Markit_Composite_PMI_Prelim_Actual,US_Markit_Composite_PMI_Prelim_Srv_Med,US_Markit_Composite_PMI_Prelim_Revised,US_Markit_Composite_PMI_Prelim_Prior,unit
2023-08-23 21:45:00,50.4,51.5,,52,
2023-07-24 21:45:00,52.0,53.0,,53.2,
2023-06-23 21:45:00,53.0,53.5,,54.3,
2023-05-23 21:45:00,54.5,53.0,,53.4,
2023-04-21 21:45:00,53.5,51.2,,52.3,
2023-03-24 21:45:00,53.3,49.5,,50.1,
2023-02-21 22:45:00,50.2,47.1,,46.8,
2023-01-24 22:45:00,46.6,46.4,,45.0,
2022-12-16 22:45:00,44.6,47.0,,46.4,
2022-11-23 22:45:00,46.3,48.0,,48.2,
2022-10-24 21:45:00,47.3,49.3,,49.5,
2022-09-23 21:45:00,49.3,46.1,,44.6,
2022-08-23 21:45:00,45.0,,,47.7,
2022-07-22 21:45:00,47.5,52.4,,52.3,
2022-06-23 21:45:00,51.2,52.9,,53.6,
2022-05-24 21:45:00,53.8,55.5,,56.0,
2022-04-22 21:45:00,55.1,57.9,,57.7,
2022-03-24 21:45:00,58.5,54.4,,55.9,
2022-01-24 22:45:00,50.8,,,57.0,
