datetime,US_Markit_Manufacturing_PMI_Prelim_Actual,US_Markit_Manufacturing_PMI_Prelim_Srv_Med,US_Markit_Manufacturing_PMI_Prelim_Revised,US_Markit_Manufacturing_PMI_Prelim_Prior,unit
2023-08-23 21:45:00,47,49.3,,49,
2023-07-24 21:45:00,49.0,46.4,,46.3,
2023-06-23 21:45:00,46.3,48.5,,48.4,
2023-05-23 21:45:00,48.5,50.0,,50.2,
2023-04-21 21:45:00,50.4,49.0,,49.2,
2023-03-24 21:45:00,49.3,47.0,,47.3,
2023-02-21 22:45:00,47.8,47.1,,46.9,
2023-01-24 22:45:00,46.8,46.0,,46.2,
2022-12-16 22:45:00,46.2,47.7,,47.7,
2022-11-23 22:45:00,47.6,50.0,,50.4,
2022-10-24 21:45:00,49.9,51.0,,52.0,
2022-09-23 21:45:00,51.8,51.1,,51.5,
2022-08-23 21:45:00,51.3,52.0,,52.2,
2022-07-22 21:45:00,52.3,52.0,,52.7,
2022-06-23 21:45:00,52.4,56.0,,57.0,
2022-05-24 21:45:00,57.5,57.5,,59.2,
2022-04-22 21:45:00,59.7,58.2,,58.8,
2022-03-24 21:45:00,58.5,56.3,,57.3,
2022-01-24 22:45:00,55.0,56.7,,57.7,
