datetime,US_Markit_Services_PMI_Final_Actual,US_Markit_Services_PMI_Final_Srv_Med,US_Markit_Services_PMI_Final_Revised,US_Markit_Services_PMI_Final_Prior,unit
2023-08-03 21:45:00,52.3,52.4,,52.4,
2023-07-06 21:45:00,54.4,54.1,,54.1,
2023-06-05 21:45:00,54.9,55.1,,55.1,
2023-05-03 21:45:00,53.6,53.7,,53.7,
2023-04-05 21:45:00,52.6,53.8,,53.8,
2023-03-03 22:45:00,50.6,50.5,,50.5,
2023-02-03 22:45:00,46.8,46.6,,46.6,
2023-01-05 22:45:00,44.7,44.4,,44.4,
2022-12-05 22:45:00,46.2,46.1,,46.1,
2022-11-03 21:45:00,47.8,46.6,,46.6,
2022-10-05 21:45:00,49.3,49.2,,49.2,
2022-09-06 21:45:00,43.7,44.2,,44.1,
2022-08-03 21:45:00,47.3,47.0,,47,
2022-07-06 21:45:00,52.7,51.6,,51.6,
2022-06-03 21:45:00,53.4,53.5,,53.5,
2022-05-04 21:45:00,55.6,54.7,,54.7,
2022-04-05 21:45:00,58.0,58.9,,58.9,
2022-03-03 22:45:00,56.5,56.7,,56.7,
2022-02-03 22:45:00,51.2,50.9,,50.9,
2022-01-05 22:45:00,57.6,57.5,,57.5,
