datetime,US_Markit_Services_PMI_Prelim_Actual,US_Markit_Services_PMI_Prelim_Srv_Med,US_Markit_Services_PMI_Prelim_Revised,US_Markit_Services_PMI_Prelim_Prior,unit
2023-08-23 21:45:00,51,52.2,,52.3,
2023-07-24 21:45:00,52.4,54.0,,54.4,
2023-06-23 21:45:00,54.1,54.0,,54.9,
2023-05-23 21:45:00,55.1,52.6,,53.6,
2023-04-21 21:45:00,53.7,51.5,,52.6,
2023-03-24 21:45:00,53.8,50.5,,50.6,
2023-02-21 22:45:00,50.5,47.5,,46.8,
2023-01-24 22:45:00,46.6,45.0,,44.7,
2022-12-16 22:45:00,44.4,46.8,,46.2,
2022-11-23 22:45:00,46.1,47.9,,47.8,
2022-10-24 21:45:00,46.6,49.2,,49.3,
2022-09-23 21:45:00,49.2,45.0,,43.7,
2022-08-23 21:45:00,44.1,49.2,,47.3,
2022-07-22 21:45:00,47.0,52.6,,52.7,
2022-06-23 21:45:00,51.6,53.5,,53.4,
2022-05-24 21:45:00,53.5,55.2,,55.6,
2022-04-22 21:45:00,54.7,58.0,,58.0,
2022-03-24 21:45:00,58.9,56.0,,56.5,
2022-01-24 22:45:00,50.9,55.0,,57.6,
