datetime,US_Core_PPI_Annual_Rate_Actual,US_Core_PPI_Annual_Rate_Srv_Med,US_Core_PPI_Annual_Rate_Revised,US_Core_PPI_Annual_Rate_Prior,unit
2023-08-11 20:30:00,2.4,2.3,,2.4,%
2023-07-13 20:30:00,2.4,2.6,2.6,2.8,%
2023-06-14 20:30:00,2.8,2.9,3.1,3.2,%
2023-05-11 20:30:00,3.2,3.3,,3.4,%
2023-04-13 20:30:00,3.4,3.4,,4.4,%
2023-03-15 20:30:00,4.4,5.2,5.0,5.4,%
2023-02-16 21:30:00,5.4,4.9,5.8,5.5,%
2023-01-18 21:30:00,5.5,5.7,,6.2,%
2022-12-09 21:30:00,6.2,5.9,6.8,6.7,%
2022-11-15 21:30:00,6.7,7.2,7.1,7.2,%
2022-10-12 20:30:00,7.2,7.3,,7.3,%
2022-09-14 20:30:00,7.3,7.1,7.7,7.6,%
2022-08-11 20:30:00,7.6,7.6,8.4,8.2,%
2022-06-14 20:30:00,8.3,8.6,8.6,8.8,%
2022-05-12 20:30:00,8.8,8.9,9.6,9.2,%
2022-04-13 20:30:00,9.2,8.4,8.7,8.4,%
2022-03-15 20:30:00,8.4,8.7,8.5,8.3,%
2022-02-15 21:30:00,8.3,7.9,8.5,8.3,%
2022-01-13 21:30:00,8.3,8.0,7.9,7.7,%
