datetime,US_PPI_Annual_Rate_Actual,US_PPI_Annual_Rate_Srv_Med,US_PPI_Annual_Rate_Revised,US_PPI_Annual_Rate_Prior,unit
2023-08-11 20:30:00,0.8,0.7,0.2,0.1,%
2023-07-13 20:30:00,0.1,0.4,0.9,1.1,%
2023-06-14 20:30:00,1.1,1.5,,2.3,%
2023-05-11 20:30:00,2.3,2.4,,2.7,%
2023-04-13 20:30:00,2.7,3.0,4.9,4.6,%
2023-03-15 20:30:00,4.6,5.4,5.7,6,%
2023-02-16 21:30:00,6.0,5.4,6.5,6.2,%
2023-01-18 21:30:00,6.2,6.8,7.3,7.4,%
2022-12-09 21:30:00,7.4,7.2,8.1,8,%
2022-11-15 21:30:00,8.0,8.3,8.4,8.5,%
2022-10-12 20:30:00,8.5,8.4,,8.7,%
2022-09-14 20:30:00,8.7,8.8,,9.8,%
2022-08-11 20:30:00,9.8,10.4,,11.3,%
2022-06-14 20:30:00,10.8,10.9,10.9,11,%
2022-05-12 20:30:00,11.0,10.7,11.5,11.2,%
2022-04-13 20:30:00,11.2,10.6,10.3,10,%
2022-03-15 20:30:00,10.0,10.0,10.0,9.7,%
2022-02-15 21:30:00,9.7,9.1,9.8,9.7,%
2022-01-13 21:30:00,9.7,9.8,9.7,9.6,%
