datetime,US_Core_Retail_Sales_Actual,US_Core_Retail_Sales_Srv_Med,US_Core_Retail_Sales_Revised,US_Core_Retail_Sales_Prior,unit
2023-08-15 20:30:00,5268.09,,5573.83,5562.99,亿美元
2023-07-18 20:30:00,5562.99,,,5545.28,亿美元
2023-06-15 20:30:00,5545.28,,,5560.92,亿美元
2023-05-16 20:30:00,5560.92,,,5628.1,亿美元
2023-04-14 20:30:00,5628.1,,,5672.29,亿美元
2023-03-15 20:30:00,5672.29,,,5654.59,亿美元
2023-02-15 21:30:00,5654.59,,,5527,亿美元
2023-01-18 21:30:00,5527.0,,,5629.31,亿美元
2022-12-15 21:30:00,5629.31,,,5650.57,亿美元
2022-11-16 21:30:00,5650.57,,,5564.09,亿美元
2022-10-14 20:30:00,5564.09,,5559.16,5552.92,亿美元
2022-09-15 20:30:00,5552.92,,,5578.67,亿美元
2022-08-17 20:30:00,5578.67,,,5526.69,亿美元
2022-07-15 20:30:00,5526.69,,5469.69,5466.28,亿美元
2022-06-15 20:30:00,5466.28,,,5455.19,亿美元
2022-05-17 20:30:00,5455.19,,,5320,亿美元
2022-04-14 20:30:00,5320.0,,,5229,亿美元
2022-03-16 20:30:00,5229.0,,,5172,亿美元
2022-02-16 21:30:00,5172.0,,,5006,亿美元
2022-01-14 21:30:00,5006.0,,,5133,亿美元
