datetime,US_Core_Retail_Sales_Monthly_Rate_Actual,US_Core_Retail_Sales_Monthly_Rate_Srv_Med,US_Core_Retail_Sales_Monthly_Rate_Revised,US_Core_Retail_Sales_Monthly_Rate_Prior,unit
2023-08-15 20:30:00,1.0,0.4,,0.2,%
2023-07-18 20:30:00,0.2,0.3,0.3,0.1,%
2023-06-15 20:30:00,0.1,0.1,,0.4,%
2023-05-16 20:30:00,0.4,0.4,-0.4,-0.8,%
2023-04-14 20:30:00,-0.8,-0.3,0.0,-0.1,%
2023-03-15 20:30:00,-0.1,-0.1,2.4,2.3,%
2023-02-15 21:30:00,2.3,0.8,-0.9,-1.1,%
2023-01-18 21:30:00,-1.1,-0.4,-0.6,-0.2,%
2022-12-15 21:30:00,-0.2,0.2,1.2,1.3,%
2022-11-16 21:30:00,1.3,0.4,,0.1,%
2022-10-14 20:30:00,0.1,-0.1,-0.1,-0.3,%
2022-09-15 20:30:00,-0.3,0.1,0.0,0.4,%
2022-08-17 20:30:00,0.4,-0.1,0.9,1,%
2022-07-15 20:30:00,1.0,0.6,0.6,0.5,%
2022-06-15 20:30:00,0.5,0.8,0.4,0.6,%
2022-05-17 20:30:00,0.6,0.4,1.4,1.1,%
2022-04-14 20:30:00,1.1,1.0,0.6,0.2,%
2022-03-16 20:30:00,0.2,0.9,4.4,3.3,%
2022-02-16 21:30:00,3.3,0.8,-2.8,-2.3,%
2022-01-14 21:30:00,-2.3,0.2,0.1,0.3,%
