datetime,US_Export_Price_Index_Annual_Rate_Actual,US_Export_Price_Index_Annual_Rate_Srv_Med,US_Export_Price_Index_Annual_Rate_Revised,US_Export_Price_Index_Annual_Rate_Prior,unit
2023-08-15 20:30:00,-7.9,,,-12,%
2023-07-14 20:30:00,-12.0,-11.0,,-10.1,%
2023-06-15 20:30:00,-10.1,-8.4,,-5.9,%
2023-05-12 20:30:00,-5.9,-5.5,,-4.8,%
2023-04-14 20:30:00,-4.8,,,-0.8,%
2023-03-16 20:30:00,-0.8,,,2.3,%
2023-02-17 21:30:00,2.3,2.8,,5,%
2023-01-13 21:30:00,5.0,7.3,,6.3,%
2022-12-14 21:30:00,6.3,5.7,,6.9,%
2022-11-16 21:30:00,6.9,7.1,,9.5,%
2022-10-14 20:30:00,9.5,9.3,,10.8,%
2022-09-15 20:30:00,10.8,12.5,,13.1,%
2022-08-12 20:30:00,13.1,,,18.2,%
2022-07-15 20:30:00,18.2,19.9,,18.9,%
2022-06-15 20:30:00,18.9,,,18,%
2022-05-13 20:30:00,18.0,19.2,,18.8,%
2022-04-14 20:30:00,18.8,16.2,,16.6,%
2022-03-16 20:30:00,16.6,14.4,,15.1,%
2022-02-16 21:30:00,15.1,,,14.7,%
2022-01-14 21:30:00,14.7,16.0,,18.2,%
