datetime,US_Import_Price_Index_Annual_Rate_Actual,US_Import_Price_Index_Annual_Rate_Srv_Med,US_Import_Price_Index_Annual_Rate_Revised,US_Import_Price_Index_Annual_Rate_Prior,unit
2023-08-15 20:30:00,-4.4,-4.5,,-6.1,%
2023-07-14 20:30:00,-6.1,-6.1,,-5.9,%
2023-06-15 20:30:00,-5.9,-5.6,,-4.8,%
2023-05-12 20:30:00,-4.8,-4.8,,-4.6,%
2023-04-14 20:30:00,-4.6,-4.1,,-1.1,%
2023-03-16 20:30:00,-1.1,-1.1,,0.8,%
2023-02-17 21:30:00,0.8,1.4,,3.5,%
2023-01-13 21:30:00,3.5,2.2,,2.7,%
2022-12-14 21:30:00,2.7,3.2,,4.2,%
2022-11-16 21:30:00,4.2,4.2,,6,%
2022-10-14 20:30:00,6.0,6.2,,7.8,%
2022-09-15 20:30:00,7.8,7.7,,8.8,%
2022-08-12 20:30:00,8.8,9.4,,10.7,%
2022-07-15 20:30:00,10.7,11.4,,11.7,%
2022-06-15 20:30:00,11.7,11.9,,12,%
2022-05-13 20:30:00,12.0,12.3,,12.5,%
2022-04-14 20:30:00,12.5,11.8,,10.9,%
2022-03-16 20:30:00,10.9,11.3,,10.8,%
2022-02-16 21:30:00,10.8,9.9,,10.4,%
2022-01-14 21:30:00,10.4,10.8,,11.7,%
