datetime,US_Import_Price_Index_Monthly_Rate_Actual,US_Import_Price_Index_Monthly_Rate_Srv_Med,US_Import_Price_Index_Monthly_Rate_Revised,US_Import_Price_Index_Monthly_Rate_Prior,unit
2023-08-15 20:30:00,0.4,0.2,-0.1,-0.2,%
2023-07-14 20:30:00,-0.2,-0.1,-0.4,-0.6,%
2023-06-15 20:30:00,-0.6,-0.5,0.3,0.4,%
2023-05-12 20:30:00,0.4,0.3,-0.8,-0.6,%
2023-04-14 20:30:00,-0.6,-0.1,-0.2,-0.1,%
2023-03-16 20:30:00,-0.1,-0.2,-0.4,-0.2,%
2023-02-17 21:30:00,-0.2,-0.2,-0.1,0.4,%
2023-01-13 21:30:00,0.4,-0.9,-0.7,-0.6,%
2022-12-14 21:30:00,-0.6,-0.5,-0.4,-0.2,%
2022-11-16 21:30:00,-0.2,-0.4,-1.1,-1.2,%
2022-10-14 20:30:00,-1.2,-1.1,-1.1,-1,%
2022-09-15 20:30:00,-1.0,-1.2,-1.5,-1.4,%
2022-08-12 20:30:00,-1.4,-1.0,0.3,0.2,%
2022-07-15 20:30:00,0.2,0.7,0.5,0.6,%
2022-06-15 20:30:00,0.6,1.1,0.4,0,%
2022-05-13 20:30:00,0.0,0.6,2.9,2.6,%
2022-04-14 20:30:00,2.6,2.3,1.6,1.4,%
2022-03-16 20:30:00,1.4,1.5,1.9,2,%
2022-02-16 21:30:00,2.0,1.3,-0.4,-0.2,%
2022-01-14 21:30:00,-0.2,0.3,,0.7,%
