datetime,US_NY_Fed_Manufacturing_Employment_Index_Actual,US_NY_Fed_Manufacturing_Employment_Index_Srv_Med,US_NY_Fed_Manufacturing_Employment_Index_Revised,US_NY_Fed_Manufacturing_Employment_Index_Prior,unit
2023-08-15 20:30:00,-1.4,,,4.7,
2023-07-17 20:30:00,4.7,,,-3.6,
2023-06-15 20:30:00,-3.6,,,-3.3,
2023-05-15 20:30:00,-3.3,,,-8,
2023-04-17 20:30:00,-8.0,,,-10.1,
2023-03-15 20:30:00,-10.1,,,-6.6,
2023-02-15 21:30:00,-6.6,,,2.8,
2023-01-17 21:30:00,2.8,,,14,
2022-12-15 21:30:00,14.0,,,12.2,
2022-11-15 21:30:00,12.2,,,7.7,
2022-10-17 20:30:00,7.7,,,9.7,
2022-09-15 20:30:00,9.7,,,7.4,
2022-08-15 20:30:00,7.4,,,18,
2022-07-15 20:30:00,18.0,,,19,
2022-06-15 20:30:00,19.0,,,14,
2022-05-16 20:30:00,14.0,,,7.3,
2022-04-15 20:30:00,7.3,,,14.5,
2022-03-15 20:30:00,14.5,,,23.1,
2022-02-15 21:30:00,23.1,,,16.1,
2022-01-18 21:30:00,16.1,,,21.4,
