datetime,US_NY_Fed_Manufacturing_Index_Actual,US_NY_Fed_Manufacturing_Index_Srv_Med,US_NY_Fed_Manufacturing_Index_Revised,US_NY_Fed_Manufacturing_Index_Prior,unit
2023-08-15 20:30:00,-19.0,-1.0,,1.1,
2023-07-17 20:30:00,1.1,-4.3,,6.6,
2023-06-15 20:30:00,6.6,-15.1,,-31.8,
2023-05-15 20:30:00,-31.8,-2.5,,10.8,
2023-04-17 20:30:00,10.8,-18.0,,-24.6,
2023-03-15 20:30:00,-24.6,-8.0,,-5.8,
2023-02-15 21:30:00,-5.8,-18.0,,-32.9,
2023-01-17 21:30:00,-32.9,-8.7,,-11.2,
2022-12-15 21:30:00,-11.2,-1.0,,4.5,
2022-11-15 21:30:00,4.5,-5.0,,-9.1,
2022-10-17 20:30:00,-9.1,-4.0,,-1.5,
2022-09-15 20:30:00,-1.5,-13.0,,-31.3,
2022-08-15 20:30:00,-31.3,5.5,,11.1,
2022-07-15 20:30:00,11.1,-2.0,,-1.2,
2022-06-15 20:30:00,-1.2,3.0,,-11.6,
2022-05-16 20:30:00,-11.6,17.0,,24.6,
2022-04-15 20:30:00,24.6,0.5,,-11.8,
2022-03-15 20:30:00,-11.8,7.0,,3.1,
2022-02-15 21:30:00,3.1,12.15,,-0.7,
2022-01-18 21:30:00,-0.7,25.7,,31.9,
