datetime,US_NY_Fed_Manufacturing_New_Orders_Index_Actual,US_NY_Fed_Manufacturing_New_Orders_Index_Srv_Med,US_NY_Fed_Manufacturing_New_Orders_Index_Revised,US_NY_Fed_Manufacturing_New_Orders_Index_Prior,unit
2023-08-15 20:30:00,-19.9,,,3.3,
2023-07-17 20:30:00,3.3,,,3.1,
2023-06-15 20:30:00,3.1,,,-28,
2023-05-15 20:30:00,-28.0,,,25.1,
2023-04-17 20:30:00,25.1,,,-21.7,
2023-03-15 20:30:00,-21.7,,,-7.8,
2023-02-15 21:30:00,-7.8,,,-31.1,
2023-01-17 21:30:00,-31.1,,,-3.6,
2022-12-15 21:30:00,-3.6,,,-3.3,
2022-11-15 21:30:00,-3.3,,,3.7,
2022-10-17 20:30:00,3.7,,,3.7,
2022-09-15 20:30:00,3.7,,,-29.6,
2022-08-15 20:30:00,-29.6,,,6.2,
2022-07-15 20:30:00,6.2,,,5.3,
2022-06-15 20:30:00,5.3,,,-8.8,
2022-05-16 20:30:00,-8.8,,,25.1,
2022-04-15 20:30:00,25.1,,,-11.2,
2022-03-15 20:30:00,-11.2,,,1.4,
2022-02-15 21:30:00,1.4,,,-5,
2022-01-18 21:30:00,-5.0,,,27.1,
