datetime,US_NY_Fed_Manufacturing_Prices_Received_Index_Actual,US_NY_Fed_Manufacturing_Prices_Received_Index_Srv_Med,US_NY_Fed_Manufacturing_Prices_Received_Index_Revised,US_NY_Fed_Manufacturing_Prices_Received_Index_Prior,unit
2023-08-15 20:30:00,12.6,,,3.9,
2023-07-17 20:30:00,3.9,,,9,
2023-06-15 20:30:00,9.0,,,23.6,
2023-05-15 20:30:00,23.6,,,23.7,
2023-04-17 20:30:00,23.7,,,22.9,
2023-03-15 20:30:00,22.9,,,28.4,
2023-02-15 21:30:00,28.4,,,18.8,
2023-01-17 21:30:00,18.8,,,25.2,
2022-12-15 21:30:00,25.2,,,27.2,
2022-11-15 21:30:00,27.2,,,22.9,
2022-10-17 20:30:00,22.9,,,23.6,
2022-09-15 20:30:00,23.6,,,32.7,
2022-08-15 20:30:00,32.7,,,31.3,
2022-07-15 20:30:00,31.3,,,43.6,
2022-06-15 20:30:00,43.6,,,45.6,
2022-05-16 20:30:00,45.6,,,49.1,
2022-04-15 20:30:00,49.1,,,56.1,
2022-03-15 20:30:00,56.1,,,54.1,
2022-02-15 21:30:00,54.1,,,37.1,
2022-01-18 21:30:00,37.1,,,44.6,
