datetime,US_Retail_Sales_Actual,US_Retail_Sales_Srv_Med,US_Retail_Sales_Revised,US_Retail_Sales_Prior,unit
2023-08-15 20:30:00,6963.54,,6913.12,6894.99,亿美元
2023-07-18 20:30:00,6894.99,,,6865.73,亿美元
2023-06-15 20:30:00,6865.73,,,6860.52,亿美元
2023-05-16 20:30:00,6860.52,,,6916.71,亿美元
2023-04-14 20:30:00,6916.71,,,6978.76,亿美元
2023-03-15 20:30:00,6978.76,,,6969.82,亿美元
2023-02-15 21:30:00,6969.82,,,6771,亿美元
2023-01-18 21:30:00,6771.0,,,6894.43,亿美元
2022-12-15 21:30:00,6894.43,,,6945.18,亿美元
2022-11-16 21:30:00,6945.18,,,6839.74,亿美元
2022-10-14 20:30:00,6839.74,,6839.9,6832.91,亿美元
2022-09-15 20:30:00,6832.91,,,6828.15,亿美元
2022-08-17 20:30:00,6828.15,,,6806,亿美元
2022-07-15 20:30:00,6806.0,,,6729,亿美元
2022-06-15 20:30:00,6729.0,,,6777.11,亿美元
2022-05-17 20:30:00,6777.11,,,6657,亿美元
2022-04-14 20:30:00,6657.0,,,6581,亿美元
2022-03-16 20:30:00,6581.0,,,6497,亿美元
2022-02-16 21:30:00,6497.0,,,6268,亿美元
2022-01-14 21:30:00,6268.0,,,6398,亿美元
